HOLOCAUST-L, L, B
ANNE-BAKER-R, R, N
HELEEN-BOS-L, L, B
HELEEN-BOS-R, R, N
VERTRAGING-B-R, R, C_spread
VERTRAGING-B-L, L, C_spread
GROOT-SAGITTAAL-D-R, R, C_spread
GROOT-SAGITTAAL-D-L, L, C_spread
MAAT-VERTICAAL-D-R, R, C_spread
MAAT-VERTICAAL-D-L, L, C_spread
UITEN-B-L, L, C_spread
UITEN-B-R, R, B
AFSCHEIDEN-A-L, L, C
AFSCHEIDEN-A-R, R, C_spread
TEKST-B-L, L, B
TEKST-B-R, R, C_spread
BROCCOLI-L, L, C_spread
BROCCOLI-R, R, C_spread
WINNEN-D-L, L, C_spread
WINNEN-D-R, R, B
LACHEN-A-R, R, C_spread
LACHEN-A-L, L, C_spread
BESLUITEN-E-L, L, B
BESLUITEN-E-R, R, B
RASP-L, L, B
RASP-R, R, B
AUBERGINE-A-L, L, Beak
AUBERGINE-A-R, R, C_spread
GEBAK-L, L, B
GEBAK-R, R, C_spread
ENSCHEDE-L, L, B
ENSCHEDE-R, R, C_spread
DECENTRALISEREN-R, R, C_spread
DECENTRALISEREN-L, L, C_spread
KLEIN-SAGITTAAL-D-R, R, C_spread
KLEIN-SAGITTAAL-D-L, L, C_spread
KETCHUP-A-L, L, S
KETCHUP-A-R, R, C_spread
KLEIN-VERTICAAL-D-R, R, C_spread
KLEIN-VERTICAAL-D-L, L, C_spread
MATCH-A-R, R, C_spread
MATCH-A-L, L, C_spread
KOFFIE-C-L, L, T
KOFFIE-C-R, R, C
SCHRIJVEN-B-L, L, B
SCHRIJVEN-B-R, R, T
MAAT-C-R, R, T
MAAT-C-L, L, T
SPAREN-A-L, L, C
SPAREN-A-R, R, T
JUFFROUW-B-L, L, S
JUFFROUW-B-R, R, T
TAPAS-C-L, L, B
TAPAS-C-R, R, T
VLEES-C-L, L, 5
VLEES-C-R, R, T
CHIPS-A-L, L, C
CHIPS-A-R, R, T
PATAT-L, L, C
PATAT-R, R, T
GRAAN-B-R, R, T
GRAAN-B-L, L, T
NAAIEN-A-L, L, B
NAAIEN-A-R, R, T
MUZIEK-B-R, R, T
MUZIEK-B-L, L, T
NAAM-D-L, L, B
NAAM-D-R, R, T
CHIPS-C-L, L, B
CHIPS-C-R, R, T
VIOOL-L, L, C
VIOOL-R, R, T
THEE-L, L, C
THEE-R, R, T
MAAT-A-R, R, T
MAAT-A-L, L, T
AFSPRAAK-G-R, R, T
AFSPRAAK-G-L, L, T
SCHOOL-B-L, L, B
SCHOOL-B-R, R, T
THERAPIE-C-L, L, B
THERAPIE-C-R, R, T
AFSTAND-A-R, R, T
AFSTAND-A-L, L, T
ZIEL-B-R, R, T
ZIEL-B-L, L, T
TESSA-HELDENS-L, L, B
TESSA-HELDENS-R, R, T
BORDUREN-L, L, B
BORDUREN-R, R, T
SOLLICITEREN-L, L, B
SOLLICITEREN-R, R, T
COMMUNICATIE-VERBROKEN-A-R, R, C
COMMUNICATIE-VERBROKEN-A-L, L, C
CULTUUR-B-L, L, C
CULTUUR-B-R, R, 1
MAAT-SAGITTAAL-D-R, R, C
MAAT-SAGITTAAL-D-L, L, C
ECUADOR-L, L, C
ECUADOR-R, R, B
VERTICALE-CYLINDER-A-R, R, C
VERTICALE-CYLINDER-A-L, L, C
MANDARIJN-R, R, C
MANDARIJN-L, L, C
COMMUNICATIE-VERBROKEN-B-R, R, C
COMMUNICATIE-VERBROKEN-B-L, L, C
CODE-L, L, C
CODE-R, R, C
FLES-R, R, C
FLES-L, L, C
KAARTEN-A-L, L, C
KAARTEN-A-R, R, C
ZUINIG-B-L, L, B
ZUINIG-B-R, R, C
NARCIS-L, L, C
NARCIS-R, R, B
STOKBROOD-A-R, R, C
STOKBROOD-A-L, L, C
SIGNIS-R, R, C
SIGNIS-L, L, C
CURRICULUM-L, L, B
CURRICULUM-R, R, B
FLES-GEVEN-L, L, C
FLES-GEVEN-R, R, C
GEBOGEN-CYLINDER-R, R, C
GEBOGEN-CYLINDER-L, L, C
LENS-A-R, R, C
LENS-A-L, L, C
SENSEO-H-R, R, C
SENSEO-H-L, L, C
BOOM-C-R, R, C
BOOM-C-L, L, C
6-B-L, L, 5
6-B-R, R, A
KIWI-C-L, L, Baby_C
KIWI-C-R, R, A
SRI-LANKA-B-L, L, B
SRI-LANKA-B-R, R, A
MAAND-C-L, L, B
MAAND-C-R, R, A
PLAKKEN-C-L, L, A
PLAKKEN-C-R, R, B
ZUID-AMERIKA-A-L, L, A
PASSEN-R, R, A
PASSEN-L, L, A
PASSEREN-R, R, A
PASSEREN-L, L, A
MAASTRICHT-C-L, L, B
MAASTRICHT-C-R, R, A
BESNIJDENIS-A-L, L, A
BESNIJDENIS-A-R, R, A
CHAMPIGNON-C-L, L, B
CHAMPIGNON-C-R, R, A
KIWI-B-L, L, C
KIWI-B-R, R, A
AANPASSEN-A-R, R, A
AANPASSEN-A-L, L, A
SLECHT-D-R, R, A
SLECHT-D-L, L, A
CHAMPIGNON-B-L, L, B
CHAMPIGNON-B-R, R, A
ONTSLAAN-A-L, L, B
ONTSLAAN-A-R, R, A
ASSEPOESTER-L, L, B
ASSEPOESTER-R, R, A
ACHTERLOPEN-A-R, R, A
ACHTERLOPEN-A-L, L, A
HOMO-B-L, L, B
HOMO-B-R, R, A
6-ORD-B-L, L, 5
6-ORD-B-R, R, A
BEKEURING-L, L, B
BEKEURING-R, R, A
POEP-C-L, L, A
POEP-C-R, R, A
ACHTERLOPEN-C-R, R, A
ACHTERLOPEN-C-L, L, A
DUIMSTOK-R, R, A
DUIMSTOK-L, L, A
IRAN-L, L, A
IRAN-R, R, B
BETALEN-L, L, B
BETALEN-R, R, A
STICKER-L, L, A
STICKER-R, R, S
STRAF-B-R, R, A
STRAF-B-L, L, A
PLEISTER-C-L, L, B
PLEISTER-C-R, R, A
BRIEF-A-L, L, B
BRIEF-A-R, R, A
NOORD-AMERIKA-A-L, L, A
13-C-L, L, 5
13-C-R, R, 3
AMSTEL-A-L, L, C
AMSTEL-A-R, R, C
NEW-YORK-L, L, B
NEW-YORK-R, R, Y
KAAS-C-L, L, B
KAAS-C-R, R, Y
YOGHURT-A-L, L, Y
YOGHURT-A-R, R, C
GEVANGENIS-B-R, R, Y
GEVANGENIS-B-L, L, Y
PARDON-R, R, Y
PARDON-L, L, Y
YOUTUBE-B-R, R, Y
METRO-A-L, L, B
METRO-A-R, R, Y
LAATSTE-B-L, L, B
LAATSTE-B-R, R, Y
YOUTUBE-A-L, L, C
YOUTUBE-A-R, R, Y
PRINTEN-B-L, L, B
PRINTEN-B-R, R, 1_curved
KOPPIG-L, L, S
KOPPIG-R, R, 1_curved
AARDAPPEL-C-R, R, 1_curved
AARDAPPEL-C-L, L, 1_curved
HARD-A-L, L, S
HARD-A-R, R, 1_curved
SANDAAL-A-L, L, B
SANDAAL-A-R, R, 1_curved
HARD-B-L, L, B
HARD-B-R, R, 1_curved
KAAPSTAD-B-R, R, 1_curved
KAAPSTAD-B-L, L, 1_curved
ONAFHANKELIJK-L, L, C
ONAFHANKELIJK-R, R, 1_curved
AANSLUITEN-L, L, O
AANSLUITEN-R, R, 1_curved
BLIKJE-B-L, L, C
BLIKJE-B-R, R, 1_curved
BLIKOPENER-L, L, 1_curved
BLIKOPENER-R, R, C
KRENTENBOL-B-L, L, S
KRENTENBOL-B-R, R, 1_curved
AARDAPPEL-B-L, L, B
AARDAPPEL-B-R, R, 1_curved
BLIKJE-D-L, L, 1_curved
BLIKJE-D-R, R, C
HAKEN-R, R, 1_curved
HAKEN-L, L, 1_curved
EI-B-L, L, C
EI-B-R, R, 1_curved
SCHEERSCHUIM-L, L, C_spread
SCHEERSCHUIM-R, R, 1_curved
AARDAPPEL-A-L, L, C
AARDAPPEL-A-R, R, 1_curved
KAAPSTAD-A-R, R, 1_curved
KAAPSTAD-A-L, L, 1_curved
BLIKJE-C-L, L, C
BLIKJE-C-R, R, 1_curved
INSTAGRAM-A-L, L, B
INSTAGRAM-A-R, R, Baby_C
WOORDVOLGORDE-R, R, Baby_C
WOORDVOLGORDE-L, L, Baby_C
TURKIJE-B-L, L, Baby_C
TURKIJE-B-R, R, B
BADSLIPPER-L, L, Baby_C
BADSLIPPER-R, R, B
VERTICALE-CYLINDER-B-R, R, Baby_C
VERTICALE-CYLINDER-B-L, L, Baby_C
MORFOLOGIE-L, L, Baby_C
MORFOLOGIE-R, R, 1
STROPDAS-R, R, Baby_C
STROPDAS-L, L, Baby_C
MASTER-R, R, Baby_C
MASTER-L, L, Baby_C
MAAND-D-L, L, B
MAAND-D-R, R, Baby_C
ELEMENTEN-R, R, Baby_C
ELEMENTEN-L, L, Baby_C
AARDAPPEL-E-L, L, S
AARDAPPEL-E-R, R, Baby_C
LIJST-A-L, L, B
LIJST-A-R, R, Baby_C
ACCEPTEREN-C-L, L, B
ACCEPTEREN-C-R, R, W
WOORD-EN-GEBAAR-A-R, R, W
WOORD-EN-GEBAAR-A-L, L, W
WET-A-L, L, B
WET-A-R, R, W
8-B-L, L, 5
8-B-R, R, W
WISKUNDE-B-L, L, B
WISKUNDE-B-R, R, W
GUATEMALA-L, L, W
GUATEMALA-R, R, S
WIM-EMMERIK-L, L, B
WIM-EMMERIK-R, R, W
18-C-L, L, 5
18-C-R, R, W
WET-B-L, L, B
WET-B-R, R, B
WISKUNDE-A-L, L, B
WISKUNDE-A-R, R, W
KEARSY-CORMIER-L, L, B
KEARSY-CORMIER-R, R, K
FILIPIJNEN-L, L, K
FILIPIJNEN-R, R, S
KWARK-B-L, L, C
KWARK-B-R, R, K
JARIG-A-L, L, B
JARIG-A-R, R, Beak_open
JANUARI-A-L, L, B
JANUARI-A-R, R, Beak_open
MELOEN-A-R, R, Beak_open
MELOEN-A-L, L, Beak_open
SPAREN-C-L, L, Beak
SPAREN-C-R, R, Beak
IN-K-L, L, Beak
IN-K-R, R, Beak_open
BESLUITEN-D-L, L, B
BESLUITEN-D-R, R, Beak
GANS-A-L, L, B
GANS-A-R, R, Beak
BANGKOK-L, L, Beak
BANGKOK-R, R, B
KALENDER-B-R, R, Beak
KALENDER-B-L, L, Beak
STRUISVOGEL-L, L, Beak
STRUISVOGEL-R, R, Beak
HUMMUS-B-L, L, B
HUMMUS-B-R, R, Beak
SCHOOL-E-L, L, B
SCHOOL-E-R, R, Baby_O
PAKISTAN-L, L, Baby_O
PAKISTAN-R, R, 1
SCHRIJVEN-D-L, L, B
SCHRIJVEN-D-R, R, Baby_O
19-D-L, L, 5
19-D-R, R, 4
REGENBOOG-B-R, R, 4
REGENBOOG-B-L, L, 4
WAFEL-A-R, R, 4
WAFEL-A-L, L, 4
44-C-R, R, 4
44-C-L, L, 4
DIARREE-B-R, R, 4
DIARREE-B-L, L, 4
PESTO-L, L, 5
PESTO-R, R, 4
QUEER-L, L, 4
QUEER-R, R, 1
BARCELONA-L, L, 4
BARCELONA-R, R, 5
WIFI-B-L, L, 1
WIFI-B-R, R, 4
AMSTEL-B-L, L, C
AMSTEL-B-R, R, C
HOEFT-NIET-B-L, L, B
HOEFT-NIET-B-R, R, 5m
KERN-L, L, B
KERN-R, R, 5m
EIGENWIJS-L, L, B
EIGENWIJS-R, R, 5m
JEZUS-A-L, L, B
JEZUS-A-R, R, B
MARTINE-WATTEL-L, L, B
MARTINE-WATTEL-R, R, M
MIAMI-L, L, M
MIAMI-R, R, S
KIP-B-L, L, B
KIP-B-R, R, Baby_beak
GENT-L, L, 5r
GENT-R, R, B
IDENTITEITSKAART-A-L, L, B
IDENTITEITSKAART-A-R, R, B
GITAAR-R, R, Other
GITAAR-L, L, Other
