2915, 0_1_0_BEDOELEN-IK, 1, val
36786, 0_3_0_VOORWAARTS, B, train
489, 0_1_0_LENEN-A, 1, train
2145, 0_11_0_ZELF-A, A, train
6690, 0_14_0_PERFECT-B, T, train
598, 0_6_0_SLURF, C, train
2629, 0_1_0_UUR-HALF, 1, train
3251, 0_3_0_ZIELIG-B, B, train
1882, 0_24_0_VREEMD-B, Y, test
183, 0_14_0_TERUG-A, T, train
505, 0_4_0_RECHTER, Money, train
1563, 0_4_0_SCHILDEREN-A, Money, train
1124, 0_3_0_ROUTE-B, B, train
671, 0_6_0_HAGELSLAG-A, C, train
47034, 0_22_0_BOREN-B, L, train
48713, 0_5_0_DARMEN-B, Baby_C, train
47102, 0_19_0_MOND-HANGT-OPEN, V_curved, test
793, 0_14_0_MOOI-A, T, train
46915, 0_11_0_ARIZONA, A, train
46357, 0_3_0_CHILIPEPER, B, train
46935, 0_16_0_IRAK-A, 5, train
1497, 0_10_0_MAAT-VERTICAAL-F, B_bent, train
1047, 0_3_0_ELKE-C, B, train
669, 0_5_0_GEMEENTE, Baby_C, train
1824, 0_10_0_LOGEREN-A, B_bent, train
2793, 0_3_0_PRETTIG-B, B, train
8569, 0_22_0_LIANNE-WESTENBERG, L, train
3175, 0_10_0_LA, B_bent, train
44045, 0_5_0_VERKOUDEN-A, Baby_C, train
75, 0_3_0_TEGENVALLEN-A, B, train
2108, 0_3_0_AAN-JOU, B, train
4116, 0_4_0_VROEG-A, Money, train
48342, 0_2_0_TRILWEKKER, C_spread, train
46617, 0_9_0_RUILEN, V, train
1058, 0_3_0_NAAM-G, B, train
2673, 0_16_0_VIJVEN, 5, train
953, 0_11_0_BRUTAAL-C, A, train
4198, 0_28_0_24-A, Other, val
3808, 0_11_0_#A, A, train
2219, 0_14_0_TANTE-A, T, train
3522, 0_16_0_DRENTHE-A, 5, train
46918, 0_23_0_WASHINGTON, 3, val
1799, 0_8_0_EURO, N, train
2789, 0_4_0_PAS-B, Money, train
4559, 0_7_0_SCHOTLAND, S, train
49256, 0_4_0_KAPITEIN-B, Money, train
351, 0_5_0_LIJST-B, Baby_C, train
545, 0_2_0_CHEF-B, C_spread, train
2447, 0_17_0_4-A, 4, val
44062, 0_21_0_MAANDAG-C, M, val
44149, 0_14_0_HAREN-B, T, train
2120, 0_22_0_LASSEN, L, train
46648, 0_8_0_HAWAII-B, N, train
2313, 0_24_0_JOURNAAL-A, Y, test
981, 0_11_0_MIS-A, A, train
430, 0_1_0_ZWART-A, 1, train
3208, 0_3_0_HELEN-DE-HOOP, B, train
552, 0_6_0_GEDRAG, C, train
547, 0_29_0_DUIF, B_curved, val
44368, 0_9_0_ZICH-BEDENKEN-B, V, train
166, 0_3_0_KLOPT-E, B, train
47198, 0_16_0_WATERVAL, 5, train
422, 0_19_0_DOLLAR-A, V_curved, test
1169, 0_3_0_ADEMEN-B, B, train
597, 0_7_0_SLAAN-C, S, train
418, 0_14_0_TEKENEN-B, T, train
2604, 0_16_0_100-B, 5, train
3210, 0_6_0_CONNIE-DE-VOS, C, train
2946, 0_16_0_HAND, 5, train
4388, 0_5_0_MAAT-HORIZONTAAL-A, Baby_C, train
3284, 0_8_0_KATHOLIEK-B, N, train
2078, 0_1_0_HEEN-EN-WEER-A, 1, train
46373, 0_12_0_SLAGROOM-B, 1_curved, train
1384, 0_3_0_STIJL-A, B, train
2744, 0_2_0_CI-D, C_spread, train
4710, 0_19_0_CI-AFDOEN-B, V_curved, train
2520, 0_5_0_CAFE-D, Baby_C, train
48721, 0_14_0_GEZELLIG-B, T, train
1560, 0_16_0_HEE-A, 5, train
1908, 0_3_0_NAAST, B, train
105, 0_9_0_PRIVE, V, train
2931, 0_1_0_DINSDAG-B, 1, train
4576, 0_3_0_JOEGOSLAVIE-A, B, train
450, 0_1_0_SLECHTHOREND-A, 1, train
2282, 0_2_0_NAGELBIJTEN, C_spread, train
1130, 0_3_0_TOEKOMST-A, B, train
1452, 0_14_0_BLOEM-B, T, train
48844, 0_1_0_SLIM-D, 1, train
48968, 0_16_0_LUCHT, 5, train
2010, 0_3_0_WAT-C, B, train
48795, 0_12_0_GLAS-E, 1_curved, train
2986, 0_9_0_TELHAND, V, train
4182, 0_29_0_TOEKOMST-B, B_curved, val
1966, 0_3_0_STIJL-B, B, train
515, 0_3_0_TANTE-B, B, train
1170, 0_7_0_BOOS-D, S, train
2691, 0_6_0_BIOSCOOP, C, train
1622, 0_1_0_IDEE, 1, train
1875, 0_14_0_TOT-E, T, train
46632, 0_2_0_MENSTRUATIECUP, C_spread, train
46233, 0_4_0_SAUS-B, Money, train
3811, 0_1_0_#D, 1, train
43974, 0_33_0_ZILVER-A, Baby_beak_open, val
3793, 0_3_0_ZIN-IN-C, B, train
44347, 0_1_0_BEHALVE, 1, train
8803, 0_1_0_LONDEN-A, 1, train
1404, 0_7_0_DEKSEL-A, S, train
2143, 0_11_0_ANNEMIEKE-VAN-KAMPEN, A, train
1148, 0_1_0_KNAP-A, 1, train
4064, 0_8_0_HARRY-VAN-DER-HULST, N, train
2785, 0_1_0_OPLETTEN-A, 1, train
313, 0_1_0_PECH-C, 1, train
4528, 0_3_0_LIEVER-B, B, train
2450, 0_28_0_74-A, Other, val
1498, 0_7_0_JAMMER-A, S, train
44135, 0_1_0_TILBURG, 1, train
2485, 0_7_0_SORRY-A, S, train
1278, 0_3_0_SLAAN-B, B, train
2947, 0_18_0_KLANT, K, val
48753, 0_34_0_DOORGEVEN, Beak, val
2407, 0_14_0_LEREN-A, T, train
2857, 0_4_0_TELEFOON-D, Money, train
175, 0_1_0_HOP, 1, train
48393, 0_4_0_TOESLAG-B, Money, train
46650, 0_5_0_NEPAL, Baby_C, train
1114, 0_1_0_OVER-B, 1, train
992, 0_4_0_OPDRACHT, Money, train
48527, 0_16_0_LUXE-C, 5, train
1145, 0_1_0_EN-B, 1, train
48804, 0_14_0_GOEDKOOP-F, T, train
651, 0_12_0_KLOPT-C, 1_curved, train
999, 0_1_0_PELIKAAN, 1, train
375, 0_1_0_ALLEEN-A, 1, train
952, 0_1_0_BIJVOORBEELD-A, 1, train
1209, 0_3_0_REGELS-B, B, train
46168, 0_7_0_SPINAZIE, S, train
2016, 0_22_0_BENZINE-A, L, train
235, 0_1_0_VRAAGTEKEN, 1, train
46210, 0_14_0_DRUIF, T, train
342, 0_10_0_MOE-A, B_bent, train
44222, 0_2_0_AMERSFOORT, C_spread, train
44108, 0_7_0_OUD-E, S, train
890, 0_31_0_OBER-A, Beak_open_spread, val
2820, 0_1_0_ZIN-IN-A, 1, train
2062, 0_1_0_BETEKENEN-A, 1, train
1589, 0_8_0_SCHILDEREN-B, N, train
47202, 0_3_0_STIJGEN, B, train
2663, 0_1_0_ORKAAN, 1, train
4445, 0_6_0_MAAT-VERTICAAL-E, C, train
2664, 0_1_0_OVER-C, 1, train
2960, 0_14_0_MEDISCH, T, train
2725, 0_1_0_WIE-A, 1, train
4362, 0_4_0_ZICH-BELEDIGD-VOELEN, Money, train
602, 0_1_0_START-B, 1, train
3456, 0_11_0_AMY-STOEL-A, A, train
2794, 0_14_0_PRIKKEN-A, T, train
4473, 0_7_0_BESTEMPELEN-A:1, S, train
47541, 0_1_0_TORNADO-B, 1, train
1559, 0_3_0_HAND-SCHUDDEN-B, B, train
44098, 0_3_0_LIEVER-C, B, train
4668, 0_3_0_VERTICAAL, B, train
2968, 0_1_0_OOG, 1, train
2036, 0_20_0_KUNNEN-NIET-C, W, train
1767, 0_3_0_ARCHIEF-B, B, train
44035, 0_4_0_VERZEKERING-B, Money, train
299, 0_5_0_EVEN-DENKEN-B, Baby_C, train
4495, 0_7_0_MOEILIJK-B, S, train
1572, 0_29_0_POP-A, B_curved, val
584, 0_5_0_PERSOONLIJK, Baby_C, train
47589, 0_5_0_INSTAGRAM-B, Baby_C, train
919, 0_3_0_NA-B, B, train
2996, 0_20_0_TELHAND, W, train
898, 0_1_0_ZONDE, 1, train
46804, 0_9_0_WENEN, V, train
1550, 0_2_0_ALLERGIE, C_spread, train
47113, 0_6_0_LAST-B, C, train
2717, 0_9_0_STEL-C, V, train
2398, 0_3_0_GEVOEL-A, B, train
47089, 0_19_0_VERVELEN-D, V_curved, train
31, 0_24_0_VUGHT-A, Y, train
633, 0_2_0_WILLEN-A, C_spread, train
2840, 0_7_0_MOEILIJK-A, S, train
1046, 0_1_0_ELKE-B, 1, train
661, 0_5_0_ZWITSERLAND-A, Baby_C, train
2804, 0_3_0_SLECHT-B, B, train
1348, 0_10_0_VAK-A, B_bent, train
3701, 0_4_0_TEKENEN-C, Money, train
3180, 0_10_0_VERSLAAFD-C, B_bent, train
819, 0_3_0_VAN-B, B, train
4474, 0_1_0_NEGATIEF-A, 1, train
2585, 0_21_0_MCDONALDS-B, M, val
44096, 0_3_0_VROEGER-D, B, train
49061, 0_1_0_DRAAIEN-B, 1, train
1520, 0_10_0_LIEF-A, B_bent, train
304, 0_1_0_ZOU, 1, train
2255, 0_11_0_LEONIE-BLOEM, A, train
4360, 0_8_0_OPLETTEN-B, N, train
46911, 0_11_0_AUSTIN, A, train
948, 0_1_0_BESTELLEN-A, 1, train
810, 0_29_0_BRUG-A, B_curved, test
1632, 0_5_0_ZEBRAPAD, Baby_C, train
47703, 0_32_0_SPIDER-MAN-A, 5m, val
2276, 0_25_0_DOKTER-C, Beak_spread, val
461, 0_3_0_ZIELIG-A, B, train
2079, 0_5_0_STRAKS-A, Baby_C, train
3228, 0_7_0_DOOF-G, S, train
1373, 0_12_0_KOMMA, 1_curved, train
4211, 0_14_0_GRAFISCH, T, train
47402, 0_24_0_VIES-D, Y, train
3280, 0_20_0_KUNNEN-D, W, train
44058, 0_9_0_TWEEEN-F, V, train
48784, 0_14_0_ENG, T, train
49253, 0_16_0_JARIG-C, 5, train
4530, 0_7_0_OMLAAG-TREKKEN, S, train
2004, 0_16_0_NEE-B, 5, train
44205, 0_5_0_DEVENTER-C, Baby_C, train
850, 0_9_0_12-C, V, train
4435, 0_3_0_BIOLOGIE-B, B, train
1861, 0_14_0_SCHOOL-A, T, train
2096, 0_6_0_COMPUTER-A, C, train
2244, 0_12_0_FINLAND, 1_curved, train
2375, 0_34_0_KRIJGEN-C, Beak, val
2964, 0_8_0_NOVEMBER-B, N, train
4477, 0_3_0_AAIEN, B, train
1828, 0_1_0_FOUT-B, 1, train
47858, 0_1_0_BESTELLEN-D, 1, train
44354, 0_7_0_GEDULD-B, S, train
1786, 0_10_0_DOOD-A, B_bent, train
2530, 0_5_0_DRINKEN-B, Baby_C, train
420, 0_5_0_WEEK, Baby_C, train
46566, 0_11_0_AANDOEN-C, A, train
843, 0_1_0_VER, 1, train
399, 0_7_0_SPIJT-D, S, train
47503, 0_14_0_ZAAIEN-C, T, train
47033, 0_4_0_SCHROEVENDRAAIER, Money, train
840, 0_3_0_VRAGEN-A, B, train
2733, 0_20_0_BALEN-E, W, train
46923, 0_9_0_PERU, V, train
2741, 0_19_0_CI-A, V_curved, train
608, 0_14_0_TEVREDEN-A, T, train
1156, 0_3_0_PARKEREN-A, B, train
2242, 0_4_0_SPANJE-A, Money, train
3491, 0_6_0_MONGOOL-A, C, train
2981, 0_24_0_TELEFOON-A, Y, train
97, 0_22_0_EERGISTER, L, train
44090, 0_7_0_KOPSTOOT, S, train
1938, 0_1_0_DOL-OP-A, 1, train
44042, 0_12_0_CI-F, 1_curved, train
3292, 0_1_0_RUSLAND-B, 1, train
1687, 0_2_0_BRABANT-A, C_spread, train
47342, 0_4_0_FONDUE-B, Money, train
1041, 0_1_0_BEDOELEN, 1, train
47048, 0_3_0_BOEDAPEST-B, B, train
44081, 0_4_0_MAAND-E, Money, train
2236, 0_3_0_CUBA-A, B, train
2967, 0_7_0_OMDAT-A, S, train
2955, 0_1_0_LAMP-A, 1, train
46912, 0_12_0_TEXAS, 1_curved, train
47118, 0_3_0_WOND-A, B, train
2270, 0_33_0_SCHEIDSRECHTER, Baby_beak_open, val
3828, 0_8_0_#U, N, train
913, 0_3_0_BUITENLAND, B, train
799, 0_14_0_NETJES-B, T, train
2416, 0_1_0_GRAP-B, 1, train
2456, 0_17_0_9-C, 4, val
4355, 0_3_0_NEE-E, B, train
47868, 0_34_0_OVERGEVEN-B, Beak, val
3351, 0_15_0_PUNT-D, Baby_O, val
2380, 0_11_0_HERDER, A, train
44034, 0_5_0_BLIJKEN-B, Baby_C, train
1623, 0_1_0_NOOD-A, 1, train
3080, 0_14_0_VROUW-E, T, train
4430, 0_7_0_OVERPLAATSEN, S, train
1088, 0_3_0_ARNHEM, B, train
4501, 0_19_0_DELFT-A, V_curved, train
486, 0_4_0_KAMMEN-B, Money, train
388, 0_18_0_KUNST, K, val
48011, 0_24_0_NIEUWS, Y, train
988, 0_1_0_NADENKEN-B, 1, train
1943, 0_1_0_CHINA, 1, train
3962, 0_3_0_SMEREN, B, train
4580, 0_19_0_MONTENEGRO, V_curved, train
4369, 0_9_0_VALLEN-B, V, train
1866, 0_14_0_SCHRIJVEN-A, T, train
47369, 0_5_0_KNOP-OMDRAAIEN, Baby_C, train
47499, 0_3_0_HARVEST, B, train
46470, 0_1_0_ANONIEM-A, 1, train
47083, 0_7_0_PVDA, S, train
2235, 0_16_0_EUROPA-C, 5, train
2230, 0_15_0_PRAXIS, Baby_O, val
2061, 0_20_0_WELKE-C, W, train
1920, 0_1_0_SNOR-B, 1, train
44367, 0_3_0_PAS-D, B, train
46540, 0_3_0_BIBLIOTHEEK-B, B, train
4607, 0_22_0_LUXEMBURG-C, L, train
2608, 0_14_0_3-C, T, train
550, 0_1_0_EISEN, 1, train
1397, 0_11_0_BOER, A, train
36741, 0_24_0_TELEFOON-OPNEMEN, Y, train
2409, 0_24_0_JA-A, Y, train
46254, 0_6_0_KETCHUP-B, C, train
1437, 0_3_0_OCHTEND-A, B, train
1673, 0_1_0_RUSLAND-A, 1, train
47196, 0_2_0_ZONSOPGANG, C_spread, train
2639, 0_1_0_NON-A, 1, train
3173, 0_19_0_KERMIS-B, V_curved, train
8568, 0_19_0_IRIS-WIJNEN, V_curved, train
1760, 0_9_0_ONDERTITELING-A, V, train
4568, 0_8_0_MALTA, N, train
961, 0_8_0_EERLIJK-B, N, train
44203, 0_3_0_STUDEREN-B, B, train
3350, 0_2_0_POEP-B, C_spread, train
3160, 0_26_0_KLEIN-B, I, test
3649, 0_3_0_AFHAKKEN, B, train
2624, 0_16_0_REGIO-A, 5, train
1017, 0_7_0_TOF, S, train
305, 0_34_0_KIND-C, Beak, test
2690, 0_1_0_BANG-A, 1, train
4582, 0_3_0_BOSNIE-B, B, train
994, 0_7_0_OUDSTE-A, S, train
1841, 0_1_0_MAAND-A, 1, train
920, 0_4_0_NUMMER-A, Money, train
839, 0_3_0_JARIG-B, B, train
3822, 0_13_0_#O, O, val
4587, 0_34_0_POLEN-A, Beak, test
2370, 0_3_0_HOPEN-B, B, train
1670, 0_9_0_GAMMA, V, train
47985, 0_7_0_SENAAT, S, train
1235, 0_3_0_VOORUITGANG, B, train
3061, 0_4_0_ZWEEP, Money, train
300, 0_3_0_LACHEN-F, B, train
2930, 0_5_0_DING, Baby_C, train
48518, 0_11_0_BESNIJDENIS-B, A, train
4099, 0_27_0_VUIL, 5r, val
944, 0_4_0_ARGUMENT, Money, train
46921, 0_26_0_ISRAEL-B, I, test
2237, 0_8_0_HOLLAND-A, N, train
1630, 0_1_0_GELOVEN-A, 1, train
49091, 0_3_0_GELUK-B, B, train
48287, 0_23_0_DARTH-VADER, 3, val
46640, 0_3_0_BHUTAN, B, train
141, 0_14_0_THRILLER, T, train
2881, 0_1_0_RUIKEN-A, 1, train
46232, 0_4_0_SAUS-A, Money, train
46703, 0_5_0_ONDERWEG, Baby_C, train
2808, 0_3_0_STEM-B, B, train
2712, 0_14_0_PRIJS, T, train
4073, 0_20_0_WELZIJN-B, W, train
632, 0_34_0_WEINIG, Beak, test
1451, 0_10_0_SCHAMEN-B, B_bent, train
43912, 0_6_0_BRABANT-C, C, train
1144, 0_14_0_BUITEN-C, T, train
3970, 0_33_0_DRINKEN-F, Baby_beak_open, val
46320, 0_30_0_PIT, Baby_beak, val
844, 0_8_0_ERKENNEN-B, N, train
652, 0_1_0_KLOPT-D, 1, train
44270, 0_4_0_PRESIDENT, Money, train
47008, 0_27_0_LANGZAAM-B, 5r, val
2038, 0_3_0_STINKEN-B, B, train
1283, 0_16_0_WIND, 5, train
46955, 0_16_0_LELYSTAD, 5, train
868, 0_3_0_HUIDSKLEUR-BRUIN, B, train
2391, 0_3_0_VAN-A, B, train
490, 0_11_0_LENEN-B, A, train
2077, 0_16_0_PIJN-A, 5, train
47093, 0_6_0_COMMERCIEEL, C, train
4457, 0_12_0_HAAK, 1_curved, train
2651, 0_1_0_WONEN-C, 1, train
454, 0_3_0_VERZOEKEN, B, train
2767, 0_26_0_JANUARI-B, I, test
48920, 0_1_0_1000-C, 1, train
283, 0_7_0_IRENE-BEHRENDT, S, train
44144, 0_1_0_SLIM-C, 1, train
2480, 0_5_0_OUD-B, Baby_C, train
48239, 0_20_0_88-A, W, train
48343, 0_12_0_SNOR-C, 1_curved, train
46844, 0_1_0_TREND, 1, train
49258, 0_4_0_UIT-DE-KAST, Money, train
3878, 0_20_0_WELZIJN-A, W, train
44044, 0_1_0_PROBEREN-D, 1, train
2806, 0_1_0_SLIM-A, 1, train
966, 0_12_0_GARAGE-A, 1_curved, train
4638, 0_3_0_ALSOF-D, B, train
3091, 0_1_0_KOMEN-A, 1, train
2457, 0_3_0_AFVRAGEN-A, B, train
47407, 0_20_0_LATTE-MACCHIATO-A, W, train
44033, 0_9_0_KIJKEN-D, V, train
3016, 0_7_0_COOL-A, S, train
527, 0_3_0_WEG-E, B, train
3179, 0_7_0_VERSLAAFD-B, S, train
3362, 0_8_0_TEKENEN-D, N, train
36728, 0_16_0_REIKEN, 5, train
4513, 0_9_0_KIJKEN-A, V, train
47321, 0_17_0_LASAGNE-B, 4, test
778, 0_3_0_VERSTOPPEN-B, B, train
4114, 0_14_0_LEEGHOOFD-C, T, train
1186, 0_4_0_TAFELTENNIS, Money, train
1211, 0_2_0_SAAI-A, C_spread, train
212, 0_3_0_LANGE-MOUW, B, train
164, 0_1_0_TONG, 1, train
47334, 0_1_0_STONED, 1, train
3535, 0_8_0_BLIJ-E, N, train
1937, 0_6_0_CHICAGO, C, train
2475, 0_16_0_MISSELIJK, 5, train
609, 0_3_0_TEVREDEN-B, B, train
47531, 0_16_0_OBER-B, 5, train
2506, 0_3_0_VRIJDAG-A, B, train
2373, 0_4_0_KRIJGEN-A, Money, train
4525, 0_11_0_LASTIG-B, A, train
46772, 0_28_0_NAMIBIE, Other, val
1320, 0_16_0_BIJ-D, 5, train
2393, 0_6_0_CULTUUR-A, C, train
1020, 0_9_0_VERDOMME-A, V, train
1814, 0_1_0_VERLIEZEN-A, 1, train
44104, 0_11_0_HOOFD-OPERATIE, A, train
2578, 0_1_0_11-D, 1, train
932, 0_2_0_REGIO-B, C_spread, train
268, 0_8_0_HASSELT, N, train
47474, 0_7_0_IETS-IN-DE-HAND-SCHUDDEN, S, train
46838, 0_14_0_ERG-D, T, train
46156, 0_11_0_OLIE-B, A, train
44106, 0_11_0_TOETEREN, A, train
3299, 0_7_0_HANDREM-B, S, train
215, 0_16_0_GEWOON-D, 5, train
575, 0_3_0_OPGELUCHT-B, B, train
44376, 0_9_0_HYVES-C, V, train
114, 0_16_0_BONZEN, 5, train
2403, 0_15_0_AF-B, Baby_O, val
48743, 0_3_0_WIPSTOEL, B, train
2264, 0_8_0_UTRECHT-A, N, train
217, 0_16_0_LEKKER-C, 5, train
4201, 0_16_0_WAT-G, 5, train
426, 0_3_0_GEHOORZAAM, B, train
2127, 0_32_0_ALVAST, 5m, val
4598, 0_4_0_OEKRAINE-A, Money, train
2532, 0_5_0_EILAND, Baby_C, train
3481, 0_1_0_ZWIJGEN-A, 1, train
4375, 0_10_0_GENOEG-VAN, B_bent, train
983, 0_7_0_MOORD-B, S, train
48951, 0_5_0_DIKKE-DARM, Baby_C, train
2778, 0_16_0_MOGEN-B, 5, train
3044, 0_4_0_BOODSCHAPPEN-C, Money, train
46573, 0_30_0_POTLOOD, Baby_beak, val
1465, 0_3_0_TOEVALLIG-B, B, train
47022, 0_16_0_ARABISCH, 5, train
48925, 0_16_0_10-C, 5, train
1578, 0_3_0_WC-C, B, train
851, 0_23_0_13-A, 3, val
2752, 0_4_0_ETEN-A, Money, train
1621, 0_2_0_HELSINKI, C_spread, train
921, 0_5_0_ONDERWERP-A, Baby_C, train
2649, 0_1_0_AUREOOL, 1, train
47081, 0_20_0_WASHINGTON-DC-B, W, train
853, 0_16_0_15-A, 5, train
47473, 0_7_0_AFTREKKEN, S, train
1807, 0_2_0_SLECHT-C, C_spread, train
3355, 0_3_0_DAN-D, B, train
2429, 0_16_0_50-A, 5, train
431, 0_3_0_BRAZILIE-A, B, train
680, 0_14_0_WESP, T, train
376, 0_10_0_KIND-B, B_bent, train
1143, 0_20_0_BLOWEN, W, train
1539, 0_32_0_ROZE-A, 5m, val
1117, 0_4_0_PINNEN-A, Money, train
2471, 0_4_0_LIPPENSTIFT, Money, train
846, 0_3_0_FEEDBACK, B, train
668, 0_3_0_MARTINISTAD, B, train
928, 0_14_0_PUNT-B, T, train
2892, 0_13_0_0-A, O, val
1003, 0_6_0_RIJK-B, C, train
1787, 0_1_0_JAM-B, 1, train
8575, 0_22_0_LISSA-ZEVIAR, L, train
3356, 0_3_0_GEVOEL-B, B, train
4567, 0_25_0_ITALIE-B, Beak_spread, val
549, 0_16_0_EINDELIJK-A, 5, train
2280, 0_32_0_GERAAKT-A, 5m, test
2037, 0_2_0_ONGELOFELIJK-B, C_spread, train
46806, 0_13_0_OTTAWA, O, val
623, 0_29_0_ZWANGER-B, B_curved, test
3135, 0_9_0_TWEEEN-E, V, train
2715, 0_3_0_STEL-A, B, train
2963, 0_24_0_NIEUW-B, Y, train
46818, 0_11_0_AARDRIJKSKUNDE, A, train
1013, 0_12_0_TE-LAAT-C, 1_curved, train
3003, 0_20_0_WOENSDAG-B, W, train
2954, 0_7_0_KUNNEN-A, S, train
2853, 0_10_0_GENOEG, B_bent, train
46976, 0_3_0_AFSLAAN, B, train
47035, 0_3_0_ZAAG, B, train
44076, 0_11_0_VERZINNEN, A, train
3269, 0_8_0_JUNHUI-YANG, N, train
46243, 0_1_0_OLIJF, 1, train
663, 0_3_0_MEISJE-B, B, train
1194, 0_1_0_GEVAARLIJK-A, 1, train
1438, 0_14_0_PRETTIG-A, T, train
1627, 0_3_0_BEDANKEN-B, B, train
3818, 0_18_0_#K, K, val
25, 0_3_0_KAALHOOFDIG, B, train
2287, 0_3_0_ONGELOFELIJK-A, B, train
366, 0_8_0_KLEUR-C, N, train
4625, 0_7_0_INTERVIEW-B, S, train
2993, 0_16_0_TELHAND, 5, train
46652, 0_5_0_ZWISTERLAND, Baby_C, train
46900, 0_14_0_FLUITEN-B, T, train
60, 0_11_0_LIFTEN, A, train
158, 0_27_0_ORANJE-D, 5r, val
4043, 0_22_0_LEERLING-C, L, train
2366, 0_1_0_KERMIS-A, 1, train
1527, 0_1_0_OPSCHEPPEN-A, 1, train
4194, 0_1_0_ALARM, 1, train
1823, 0_3_0_ZIEK-A, B, train
2371, 0_3_0_BEZOEKEN-A:1, B, train
1147, 0_4_0_KLOPT-F, Money, train
2727, 0_20_0_WIE-E, W, train
2883, 0_9_0_STIK-C, V, train
46264, 0_2_0_TAPAS-A, C_spread, train
229, 0_3_0_BOBO, B, train
2686, 0_4_0_SLEUTEL, Money, train
407, 0_12_0_AANKLIKKEN, 1_curved, train
3001, 0_9_0_VRIJDAG-B, V, train
1136, 0_1_0_WAARVOOR, 1, train
2090, 0_1_0_TANDENPOETSEN-B, 1, train
1499, 0_3_0_KOEKENPAN-A, B, train
1626, 0_6_0_SENSEO-C, C, train
148, 0_20_0_WACHTEN-C, W, train
2718, 0_11_0_STOUT-A, A, train
286, 0_21_0_MOUNIA-EL-ALAOUI-ISMAILI, M, val
809, 0_29_0_ACHTER-B, B_curved, test
47401, 0_12_0_HARD-C, 1_curved, train
1477, 0_3_0_KLOK-B, B, train
4718, 0_8_0_HOER-A, N, train
2, 0_4_0_ABBE-DE-L'EPEE, Money, train
2807, 0_1_0_STEM-A, 1, train
487, 0_3_0_KIND-A, B, train
1179, 0_14_0_SCHAKELAAR, T, train
46287, 0_14_0_SPRUITJES-A, T, train
303, 0_9_0_PECH-B, V, train
48318, 0_8_0_NIGERIA, N, train
2765, 0_24_0_JAAR-E, Y, train
462, 0_12_0_ZUUR, 1_curved, train
46508, 0_10_0_BIETSEN, B_bent, train
2991, 0_17_0_TELHAND, 4, test
2054, 0_29_0_GEEL-A, B_curved, test
4588, 0_1_0_POLEN-B, 1, train
48352, 0_1_0_LENZEN-B, 1, train
45820, 0_29_0_BORST, B_curved, test
4519, 0_1_0_BEDENKEN, 1, train
44160, 0_27_0_WASHINGTON-DC-A, 5r, val
488, 0_3_0_KLEIN-VERTICAAL-F, B, train
49255, 0_17_0_KAMMEN-C, 4, test
1297, 0_14_0_ERG-A, T, train
49054, 0_7_0_AIRFRYER, S, train
3297, 0_12_0_STRAF-D, 1_curved, train
1854, 0_30_0_PATROON-A, Baby_beak, val
46802, 0_9_0_VENEZUELA-A, V, train
537, 0_1_0_BAAS-A, 1, train
1018, 0_3_0_VERDER-A, B, train
1844, 0_8_0_NEE-A, N, train
1989, 0_9_0_VISICOM-B, V, train
835, 0_3_0_ERKENNEN-A, B, train
47023, 0_16_0_SCHAMEN-C, 5, train
46509, 0_7_0_BINGO, S, train
535, 0_9_0_AFSPRAAK-B, V, train
1746, 0_9_0_HOREN-B, V, train
46263, 0_2_0_OESTER-B, C_spread, train
47195, 0_2_0_ZONSONDERGANG, C_spread, train
955, 0_4_0_COMPLIMENT, Money, train
1413, 0_21_0_MATTHIJS-TERPSTRA, M, test
1734, 0_10_0_LAAT-A, B_bent, train
2819, 0_1_0_ZIEN-B, 1, train
2766, 0_7_0_JA-B, S, train
2060, 0_24_0_WELKE-B, Y, train
48866, 0_8_0_OPNIEUW-B, N, train
2852, 0_11_0_ELEKTRICITEIT-B, A, train
1531, 0_9_0_VOLWASSEN-A, V, train
660, 0_9_0_HAMKA, V, train
1936, 0_1_0_SOMMIGEN, 1, train
1697, 0_9_0_OOK-D, V, train
1617, 0_14_0_DESKUNDIG-A, T, train
1731, 0_33_0_STREEP, Baby_beak_open, val
47304, 0_2_0_MARK-RUTTE, C_spread, train
1683, 0_3_0_HENNIE-KWAAKERNAAT-WAAIFOORT, B, train
3810, 0_6_0_#C, C, train
4107, 0_12_0_SCHIETEN-D, 1_curved, train
1407, 0_4_0_DEN-HAAG-A, Money, train
2419, 0_7_0_MEESTAL, S, train
62, 0_12_0_INTERESSANT, 1_curved, train
47439, 0_1_0_TOETJE-B, 1, train
4503, 0_6_0_ABONNEMENT-B, C, train
606, 0_4_0_TASTEN-B, Money, train
287, 0_1_0_WOKKEL-B, 1, train
954, 0_6_0_COLA, C, train
1162, 0_1_0_BINNENKORT-A, 1, train
44137, 0_21_0_MIENEKE-VAN-DOESELAAR, M, test
1298, 0_15_0_ONDERTITELING-B, Baby_O, test
110, 0_6_0_VARKEN, C, train
770, 0_3_0_WEG-B, B, train
914, 0_15_0_DATUM-A, Baby_O, test
639, 0_1_0_NU-A, 1, train
2014, 0_9_0_22-A, V, train
343, 0_16_0_MOE-B, 5, train
3230, 0_26_0_DOOF-H, I, test
627, 0_3_0_HEBBEN-A, B, train
44310, 0_10_0_LEEFTIJD, B_bent, train
2622, 0_2_0_ORANJE-B, C_spread, train
1816, 0_5_0_CONCIERGE, Baby_C, train
47715, 0_12_0_HEKS, 1_curved, train
