Gloss,SHS,WHS,Handedness,Handshape-Change
TRAJECTUM,T,T,2s,-1
FOCUS-B,B,B,2s,-1
ANDERSOM,1,1,2s,-1
OSS-B,5,5,2s,Opening > closing
GEBAREN-G,5,5,2s,-1
COVID-B,B,B,2s,-1
TINDER-A,T,T,2s,-1
FACEBOOK-A,B,B,2s,-1
FLEXIBEL-B,Beak,Beak,2s,-1
REIZEN-E,1,1,2s,-1
APART-E,B,B,2s,-1
ZWAAILICHT,O,O,2s,Opening > closing
ZELFDE-E,B,B,2s,-1
ANTILOPE-B,N,N,2s,Curving
GORILLA,S,S,2s,-1
ZEEHOND,B,B,2s,-1
INKTVIS-B,1_curved,1_curved,2s,-1
SLAK,V,B,2s,Curving
BIZON,C_spread,C_spread,2s,Closing
WALRUS,C,C,2s,Closing
WEE,5,5,2s,Curving
OEDEEM,O,O,2s,Opening
KOMKOMMER-A,K,K,2s,-1
KWARK-A,C,C,2s,-1
PASTA-B,V,V,2s,-1
KRAB,V_curved,V_curved,2s,Curving
PEPER,C,C,2s,-1
MAIS-D,C,C,2s,-1
KOKOS-B,C_spread,C_spread,2s,-1
PIZZA-C,Y,Y,2s,-1
ONTWARREN,C_spread,C_spread,2s,Curving
WEVEN,5,5,2s,-1
BLOEMKOOL-A,C_spread,C_spread,2s,-1
DIK-WORDEN-B,5,5,2s,-1
TENTOONSTELLING,T,T,2s,-1
JALOEZIEEN,B,B,2s,-1
BLINDDOEK,Baby_C,Baby_C,2s,-1
BLUSSEN,C,C,2s,-1
BOKSEN,S,S,2s,-1
PROGRAMMEREN,5_claw,5_claw,2s,-1
CONTROLEREN-B,V,V,2s,-1
DATEN,D,D,2s,-1
AFGHANSITAN,4,4,2s,-1
COMPETITIE,B,B,2s,-1
TOERNOOI,A,A,2s,-1
HIKEN,W,W,2s,-1
LIBANON,L2,L2,2s,Closing
UITSTRALING-A,5,5,2s,Wiggling
KAPSEL,V,V,2s,-1
COSMETICS,Money,Money,2s,-1
AANTREKKELIJK,5_claw,5_claw,2s,-1
FRIS-B,5,5,2s,-1
ZUTPHEN,Baby_beak,Baby_beak,2s,Closing
WOERDEN,W,W,2s,-1
DIGITAAL-A,5m_closed,5m_closed,2s,Opening
MEXICO-B,1,1,2s,-1
SURINAME-C,5,5,2s,Closing
IBIZA,B,B,2s,-1
ZAANDAM-B,N,N,2s,-1
WADDINXVEEN-A,-1,-1,2s,-1
SCHOP,S,S,2s,-1
RIEM,Baby_C,Baby_C,2s,-1
BANK-B,S,S,2s,-1
VAAS,B,B,2s,-1
DYNAMIEK,S,S,2s,-1
WOLK-B,C_spread,C_spread,2s,-1
SCHAAL-B,5,5,2s,-1
OVERAL,B,B,2s,-1
TOSTI,S,S,2s,-1
BOM-B,S,S,2s,Opening + spreading
VERPLETTEREN,B,B,2s,-1
FRIKANDEL-A,T,T,2s,-1
VERS-C,S,S,2s,Opening
MACARONI-A,Baby_beak,Baby_beak,2s,-1
VERVANGEN-B,S,-1,2s,-1
STEUN,S,S,2s,-1
KWEEK,C_spread,C_spread,2s,-1
AIRBNB-A,B,B,2s,-1
OVERSTROMING,5,5,2s,-1
INSTORTEN,5,5,2s,Wiggling
VULKAANUITBARSTING,O,O,2s,Opening
LINKEDIN-B,L,L,2s,-1
MAAGBEWEGING,O,O,2s,Closing
DJ-B,B,B,2s,-1
KABOUTER-B,B,B,2s,Closing
STRESS-E,C_spread,C_spread,2s,-1
BODYWASH,5,5,2s,-1
LEIDER,A,A,2s,-1
STAR-WARS-B,S,S,2s,Opening
VIDEOBELLEN-B,L,L,2s,-1
LIJM-B,B,B,2s,-1
TEENSLIPPER-A,B,B,2s,Bending
UITKLEDEN-C,Money,Money,2s,-1
RUIT-B,L,L,2s,-1
FRANKFURT,Money,Money,2s,-1
HALLOWEEN-A,V,V,2s,Unspreading
MERCEDES-B,1,1,2s,-1
INSCHATTEN,5,5,2s,-1
GALA,S,S,2s,Opening
KADER,K,-1,2s,-1
GASFORNUIS,O,-1,2s,Opening
AFHANGEN-VAN,1_curved,-1,2s,-1
ZAK-C,C_spread,C_spread,2s,Closing
ZAK-B,Money,Money,2s,-1
AANDACHT-D,B,B,2s,-1
ONDERLING,1,1,2s,-1
POPULAIR-A,V,V,2s,-1
VOORKOMEN-B,B,B,2s,-1
CAPUCHON-B,Money,Money,2s,-1
SCHOOLSLAG,B,B,2s,Bending
BORSTCRAWL,B,B,2s,-1
VLINDERSLAG-B,B,B,2s,-1
OSCAR,Y,Y,2s,-1
BAAS-F,A,A,2s,-1
BRUG-D,K,K,2s,-1
RONDLEIDING-B,T,T,2s,-1
PERFORMER,A,A,2s,-1
LOPEN-A,1,1,2s,-1
KERK-B,4,4,2s,-1
BACKPACKEN,C,C,2s,-1
VERWARD-C,1,1,2s,-1
