1, OUD-B-4, 44, Baby_C, R
1, VROEGER-A-11, 2, B, R
1, PT-1hand:1-2011, 4, 1, L
1, PT-1hand:1-1707, 4, 1, R
1, PT-1hand-2677, 4, 1, R
1, HOED-B-1, 21, W, L
1, WATER-C-11, 43, 5m, L
1, SLAAN-C-19, 17, S, L
1, SLAAN-C-2, 17, S, R
1, DOOF-C-7, 4, 1, R
1, PT-1hand:1-1064, 4, 1, R
1, AAP-1, 27, B_bent, L
1, MOETEN-A-58, 4, 1, L
1, STELT-NIETS-VOOR, 4, 1, R
1, MENING-A-2, 37, C_spread, L
1, SLECHT-B-3, 2, B, L
1, PT-1hand-2019, 4, 1, R
1, BEDOELEN-130, 4, 1, R
1, PT-Bhand-14, 2, B, R
1, SPRUITJES-B, 14, O, R
1, LEUK-A-22, 16, Baby_beak_open, R
1, KIJKEN-A-48, 19, V, R
1, DOOF-B-89, 9, N, L
1, GOED-A-175, 1, A, R
1, KLEIN-B-38, 10, I, L
1, LOGOPEDIE-A-16, 27, B_bent, L
1, JA-A-87, 23, Y, R
1, PT-1hand:1-2185, 4, 1, L
1, PT-1hand:1-1226, 4, 1, R
1, PT-1hand-4447, 4, 1, L
1, PT-1hand:1-2090, 4, 1, L
1, BEEN-C, 3, C, R
1, GOED-A-348, 1, A, R
1, BOODSCHAPPEN-B-2, 36, Money, L
1, MOOI-A-79, 18, T, R
1, PT-1hand:1-1206, 4, 1, R
1, DAN-A-143, 4, 1, R
1, EIGENLIJK-26, 25, 5, L
1, ORAAL-A-17, 41, V_curved, R
1, 8-A-3, 21, W, R
1, PT-1hand-5093, 4, 1, L
1, ONZIN-B-1, 40, Beak_spread, L
1, VROEGER-A-17, 2, B, R
1, GOED-A-381, 1, A, R
1, PAKKEN-B-1, 26, Beak_open, R
1, PT-1hand-4404, 4, 1, L
1, AAN-JOU-32, 2, B, L
1, WATER-C-4, 43, 5m, R
1, DOOF-A-233, 4, 1, R
1, SLECHT-B-1, 2, B, R
1, MEER-A-68, 4, 1, L
1, PAKKEN-A-111, 25, 5, L
1, PT-1hand-1615, 4, 1, L
1, PT-1hand:1-2392, 4, 1, L
1, HELE-2, 4, 1, R
1, DENKEN-140, 4, 1, R
1, PT-1hand-820, 4, 1, L
1, PT-1hand-3214, 4, 1, L
1, HOP-3, 4, 1, L
1, ALLEEN-B-22, 4, 1, L
1, MOOI-A-60, 18, T, L
1, VIJVEN-3, 25, 5, R
1, KLOPT-C-12, 22, 1_curved, R
1, VREEMD-A-3, 1, A, L
1, 2-A-36, 19, V, R
1, VINDEN-A-1, 2, B, R
1, OLIE-A, 1, A, R
1, PRETTIG-A-6, 18, T, R
1, MOETEN-A-68, 4, 1, L
1, KUNNEN-A-126, 17, S, R
1, VROUW-B-7, 45, Baby_beak, R
1, KUNNEN-A-21, 17, S, L
1, OPNEMEN-A-15, 26, Beak_open, R
1, PT:up-48, 4, 1, L
1, IDEE-38, 4, 1, L
1, JONGEN-A-1, 26, Beak_open, L
1, PT-1hand:1-1115, 4, 1, L
1, BIJ-A-44, 26, Beak_open, L
1, PT-1hand-1466, 4, 1, L
1, PT:down-53, 4, 1, L
1, VAN-A-2, 2, B, R
1, VAN-A-85, 2, B, L
1, NIET-A-211, 4, 1, L
1, GELD-GEVEN-1, 44, Baby_C, L
1, PT-1hand:1-1247, 4, 1, L
1, PT-1hand:1-1518, 4, 1, R
1, PT-1hand-2355, 4, 1, R
1, GAAN-49, 4, 1, R
1, HOREN-A-194, 4, 1, L
1, POES-C-29, 45, Baby_beak, R
1, SLECHT-B-6, 2, B, L
1, PT-1hand-491, 4, 1, L
1, PT-1hand-1501, 4, 1, L
1, PT-1hand:1-242, 4, 1, R
1, KLOPT-A-50, 11, K, R
1, KIJKEN-A-129, 19, V, R
1, PT-1hand:1-992, 4, 1, R
1, PT-1hand-3694, 4, 1, L
1, PT-1hand:1-2380, 4, 1, L
1, ACHTER-A-2, 1, A, R
1, COMPUTER-A-24, 3, C, R
1, PT-1hand-1632, 4, 1, L
1, MORGEN-B, 4, 1, R
1, NU-A-17, 4, 1, R
1, PT-1hand:1-23, 4, 1, R
1, PT-1hand-2193, 4, 1, R
1, DRINKEN-A-29, 3, C, L
1, NAAM-A-1, 44, Baby_C, L
1, MAN-A-20, 26, Beak_open, R
1, 1-A-130, 4, 1, R
1, GOEDKOOP-E, 36, Money, L
1, 1-A-148, 4, 1, R
1, PT-1hand:1-954, 4, 1, R
1, PT-1hand-4451, 4, 1, R
1, GRAAG-A-26, 25, 5, R
1, LONDEN-A, 4, 1, L
1, GOED-A-142, 1, A, L
1, HONGER-A-1, 25, 5, R
1, PT-1hand-2525, 4, 1, R
1, GRONINGEN-61, 37, C_spread, L
1, PT-1hand-117, 4, 1, L
1, VINDEN-A-41, 2, B, R
1, FOUT-B-5, 4, 1, R
1, PT-1hand:1-1418, 4, 1, L
1, GELUK-A, 2, B, L
1, PRETTIG-B-1, 2, B, L
1, PT-1hand-59, 4, 1, L
1, SCHRIJVEN-C-3, 24, Baby_O, R
1, GEWOON-A-74, 4, 1, R
1, KROATIE-B-1, 25, 5, R
1, PT-1hand-1914, 4, 1, R
1, VISICOM-B-2, 19, V, R
1, OMDAT-A-48, 17, S, R
1, IEDEREEN-A-9, 1, A, R
1, SLAAN-A-1, 36, Money, R
1, DOOF-A-64, 4, 1, R
1, PT-1hand:1-2134, 4, 1, R
1, SENSEO-B-9, 41, V_curved, R
1, GOED-A-409, 1, A, R
1, ACHTER-B-4, 38, B_curved, L
1, PT-1hand-3306, 4, 1, R
1, DOOF-A-189, 4, 1, L
1, MOETEN-A-24, 4, 1, L
1, OPERATIE-2, 1, A, R
1, PT-1hand:1-1769, 4, 1, L
1, MOGEN-B-10, 25, 5, R
1, PT-1hand:1-810, 4, 1, L
1, VAN-A-74, 2, B, R
1, VERLIEFD-A-3, 17, S, L
1, PT-1hand:1-958, 4, 1, R
1, PT-1hand-1959, 4, 1, L
1, PT-1hand-4057, 4, 1, L
1, PT-1hand-4126, 4, 1, L
1, DINSDAG-B-3, 4, 1, R
1, LANG-A-3, 2, B, L
1, PRATEN-A-15, 26, Beak_open, R
1, PT-1hand-4875, 4, 1, R
1, HEBBEN-A-109, 2, B, R
1, KRACHT-79, 17, S, L
1, GEHOORZAAM-2, 2, B, R
1, PT-1hand-816, 4, 1, R
1, DOOF-B-123, 9, N, R
1, DAN-A-145, 4, 1, R
1, PT-1hand:1-2290, 4, 1, R
1, ERKENNEN-A, 2, B, R
1, JONGEN-A-13, 26, Beak_open, L
1, DOOF-D-9, 9, N, L
1, PT-1hand:1-596, 4, 1, L
1, GRONINGEN-38, 37, C_spread, R
1, DORP-24, 44, Baby_C, R
1, EINDELIJK-A-13, 25, 5, R
1, NU-A-90, 4, 1, R
1, PB-24, 2, B, L
1, GOED-A-54, 1, A, L
1, JA-B-9, 17, S, R
1, PT-1hand-1944, 4, 1, L
1, PT-1hand-1939, 4, 1, L
1, PT-1hand-1935, 4, 1, R
1, PT-1hand-674, 4, 1, R
1, PT-1hand:1-2188, 4, 1, R
1, DELFT-B-1, 36, Money, R
1, OMA-B-16, 17, S, R
1, HEBBEN-A-54, 2, B, R
1, WAAR-D-1, 18, T, L
1, ANTWERPEN, 36, Money, R
1, TONG, 4, 1, R
1, PT-1hand-2775, 4, 1, R
1, PT-1hand-4524, 4, 1, L
1, PT-1hand-2343, 4, 1, R
1, GOED-A-343, 1, A, R
1, OOK-A-10, 2, B, R
1, PT-1hand-4036, 4, 1, L
1, HEBBEN-A-101, 2, B, L
1, DOOF-A-73, 4, 1, R
1, DINSDAG-A-11, 2, B, R
1, AANKLIKKEN-5, 22, 1_curved, L
1, PERSOON-A-9, 44, Baby_C, L
1, NU-A-165, 4, 1, L
1, HOREN-A-56, 4, 1, R
1, PRINS-1, 2, B, L
1, PT-1hand-647, 4, 1, R
1, #C-10, 3, C, L
1, KIND-A-27, 2, B, R
1, RUIMTE-A-120, 25, 5, R
1, FILM-6, 36, Money, R
1, VERBAASD-A-2, 24, Baby_O, R
1, PT-1hand-3724, 4, 1, R
1, BALEN-D-2, 4, 1, R
1, DAN-B-33, 27, B_bent, R
1, ANDERS-A-64, 1, A, R
1, GROMMEN-18, 37, C_spread, L
1, PT-1hand-4995, 4, 1, R
1, 5, 25, 5, R
1, PT-1hand-71, 4, 1, R
1, HOP-5, 4, 1, R
1, WEEK-5, 44, Baby_C, R
1, PT-1hand-5026, 4, 1, R
1, GEVEN-B-10, 2, B, L
1, TELLEN-2, 25, 5, L
1, PT-1hand-2693, 4, 1, L
1, VAN-A-21, 2, B, R
1, PT-1hand-2511, 4, 1, R
1, BEDOELEN-49, 4, 1, L
1, GISTEREN-1, 1, A, R
1, PT-1hand:1-986, 4, 1, L
1, GEEL-C-5, 45, Baby_beak, R
1, KIJKEN-A-27, 19, V, R
1, KIJKEN-B-5, 9, N, R
1, KOPEN-D-1, 36, Money, L
1, PT-1hand:1-2245, 4, 1, R
1, PT-1hand-2543, 4, 1, R
1, GEWOON-A-51, 4, 1, R
1, KIJKEN-A-33, 19, V, L
1, PT-1hand-2570, 4, 1, L
1, LASAGNE-A, 30, 4, R
1, 2-A-32, 19, V, L
1, EMAIL-D-1, 14, O, L
1, PT-1hand-4655, 4, 1, L
1, PT-1hand-3240, 4, 1, R
1, VERLEGEN-A, 4, 1, R
1, SNUFFELEN-3, 9, N, R
1, PT-1hand:1-1814, 4, 1, L
1, VANDAAR-A-8, 27, B_bent, R
1, DOOF-A-226, 4, 1, R
1, VEEL-A-19, 23, Y, R
1, HEBBEN-A-6, 2, B, R
1, PT-1hand:1-1384, 4, 1, L
1, PT-1hand:1-1324, 4, 1, R
1, VLEES-A-16, 22, 1_curved, R
1, PT-1hand:1-2671, 4, 1, R
1, KLEIN-A-28, 1, A, R
1, PT-1hand:1-2445, 4, 1, L
1, HOREN-A-104, 4, 1, R
1, NIET-A-157, 4, 1, R
1, COMPUTER-A-34, 3, C, R
1, TEKENEN-B-8, 18, T, R
1, KUNNEN-A-219, 17, S, R
1, DENKEN-79, 4, 1, R
1, MINUUT-3, 4, 1, R
1, LEKKER-A-6, 25, 5, R
1, KUNNEN-A-398, 17, S, L
1, SORRY-B-3, 25, 5, L
1, HOREN-A-239, 4, 1, R
1, PT-1hand-4897, 4, 1, L
1, JONG-A-12, 2, B, L
1, HOREN-A-128, 4, 1, R
1, PT-1hand:1-2382, 4, 1, R
1, PT-1hand-774, 4, 1, R
1, NAAST-3, 2, B, R
1, KRACHT-84, 17, S, R
1, JA-B-10, 17, S, R
1, 2-A-124, 19, V, R
1, AAN-JOU-22, 2, B, R
1, PT-1hand:1-199, 4, 1, R
1, HAND-OP-MOND-B, 2, B, R
1, KOMEN-A-11, 4, 1, L
1, MOETEN-A-3, 4, 1, R
1, KRACHT-41, 17, S, R
1, GEVEN-B-14, 2, B, L
1, PT-1hand-1018, 4, 1, L
1, KLEIN-A-11, 1, A, R
1, PT-1hand:1-2263, 4, 1, R
1, HEBBEN-A-39, 2, B, L
1, LEUK-A-68, 16, Baby_beak_open, R
1, PT-1hand:1-1793, 4, 1, R
1, SCHIETEN-C-3, 4, 1, R
1, JA-A-65, 23, Y, L
1, WEG-B-18, 2, B, R
1, SENSEO-A-33, 41, V_curved, R
1, HOREN-A-52, 4, 1, L
1, PT-1hand-9, 4, 1, L
1, ORAAL-A-4, 41, V_curved, L
1, BEZORGD-1, 37, C_spread, L
1, GRONINGEN-60, 37, C_spread, R
1, MEI-A-2, 44, Baby_C, R
1, PT-1hand:1-2330, 4, 1, L
1, BOODSCHAPPEN-B-3, 36, Money, R
1, PERSOON-A-90, 44, Baby_C, L
1, PT-1hand:1-597, 4, 1, R
1, PT-1hand-4758, 4, 1, L
1, PT-1hand-4204, 4, 1, R
1, VRIJDAG-B, 19, V, R
1, DAG-1, 4, 1, R
1, EGYPTE-B, 22, 1_curved, L
1, HEBBEN-A-29, 2, B, R
1, SENSEO-I-3, 3, C, L
1, HOPEN-B-8, 2, B, L
1, PT-1hand-1529, 4, 1, L
1, BEDOELEN-55, 4, 1, R
1, PT-1hand-2486, 4, 1, L
1, PT-1hand-4996, 4, 1, R
1, NU-A-33, 4, 1, L
1, PT-1hand-430, 4, 1, R
1, LACHEN-C-4, 44, Baby_C, L
1, PT-1hand:1-1666, 4, 1, L
1, DOOF-C-58, 4, 1, L
1, PIJN-A, 25, 5, R
1, PT-1hand-3822, 4, 1, L
1, PT-1hand-362, 4, 1, L
1, PB-42, 2, B, L
1, PT-1hand-3339, 4, 1, L
1, NEUS-4, 4, 1, R
1, PT-1hand:1-2087, 4, 1, R
1, DOOF-A-34, 4, 1, R
1, PT-1hand:1-1926, 4, 1, L
1, OOK-A-147, 2, B, R
1, PT:down-104, 4, 1, R
1, PT-1hand-1623, 4, 1, R
1, EERST-28, 4, 1, L
1, MEE-4, 17, S, R
1, #Y, 23, Y, R
1, PT-1hand-4337, 4, 1, R
1, ETEN-A-12, 36, Money, L
1, PROBEREN-A-9, 9, N, R
1, BROEKZAK-2, 2, B, R
1, PT-1hand-2924, 4, 1, L
1, PT-1hand:1-1228, 4, 1, R
1, GOED-A-129, 1, A, R
1, PT-1hand-3897, 4, 1, R
1, PT-1hand:1-2666, 4, 1, R
1, VOS-B-10, 42, Beak, L
1, MENS-34, 27, B_bent, L
1, FOUT-B-6, 4, 1, R
1, KIJKEN-A-274, 19, V, R
1, VROEGER-A-125, 2, B, R
1, NIEUW-B-16, 23, Y, R
1, PRATEN-A-76, 26, Beak_open, R
1, PT-1hand-590, 4, 1, L
1, PB-1, 2, B, R
1, HEBBEN-A-61, 2, B, R
1, SCHEIDSRECHTER-3, 16, Baby_beak_open, R
1, PT-1hand:1-462, 4, 1, R
1, DOOF-B-69, 9, N, L
1, RUIMTE-A-86, 25, 5, L
1, PT-1hand-2407, 4, 1, R
1, EMOTIE-C-1, 2, B, R
1, PT-1hand-2770, 4, 1, L
1, DOOF-A-28, 4, 1, R
1, PT-1hand-4728, 4, 1, L
1, MEER-A-64, 4, 1, L
1, GROMMEN-22, 37, C_spread, L
1, DAN-B-4, 27, B_bent, L
1, PT-1hand:1-20, 4, 1, L
1, PT:up-23, 4, 1, R
1, CI-A-21, 41, V_curved, L
1, PT-1hand:1-912, 4, 1, L
1, GRAAG-C-1, 25, 5, R
1, ZUUR, 22, 1_curved, R
1, PT-1hand:1-122, 4, 1, L
1, PT-1hand-4313, 4, 1, R
1, BEDOELEN-26, 4, 1, R
1, KLEUR-A, 38, B_curved, L
1, PT-1hand-5013, 4, 1, R
1, LUISTEREN-19, 2, B, L
1, PT-1hand-2609, 4, 1, L
1, STEM-A-4, 4, 1, L
1, PRETTIG-A-17, 18, T, L
1, PT-1hand:1-2113, 4, 1, R
1, PT-1hand-3703, 4, 1, L
1, HAREN-A-1, 18, T, R
1, VROEGER-A-119, 2, B, R
1, BUITEN-A-14, 2, B, L
1, #T-1, 18, T, L
1, PT-1hand-3109, 4, 1, R
1, PT-1hand:1-764, 4, 1, R
1, EERST-10, 4, 1, R
1, PT-1hand-3628, 4, 1, L
1, PT-1hand-1432, 4, 1, L
1, PT-1hand:1-960, 4, 1, R
1, 2-A-77, 19, V, R
1, IJS-D, 23, Y, R
1, GAAN-37, 4, 1, R
1, NUMMER-C-3, 18, T, L
1, PT-1hand-638, 4, 1, L
1, KRACHT-39, 17, S, L
1, PT-1hand-5029, 4, 1, L
1, 1-A-146, 4, 1, R
1, PT-1hand-2831, 4, 1, L
1, PT-1hand:1-2217, 4, 1, R
1, KIJKEN-A-47, 19, V, L
1, PT-1hand-1750, 4, 1, R
1, PT-1hand:1-1059, 4, 1, L
1, PT-1hand:1-1129, 4, 1, R
1, PT-1hand-1559, 4, 1, R
1, NIET-A-112, 4, 1, R
1, PT-1hand-751, 4, 1, R
1, VANAF-1, 2, B, R
1, PT-1hand-2992, 4, 1, R
1, PT-1hand-561, 4, 1, R
1, SLAAN-A, 36, Money, R
1, NU-A-111, 4, 1, L
1, VEEL-A-48, 23, Y, L
1, PT-1hand-2077, 4, 1, R
1, STEL-A-46, 2, B, R
1, 3-A-5, 21, W, R
1, VAN-A-34, 2, B, R
1, NUMMER-D-2, 36, Money, R
1, KUNNEN-A-356, 17, S, L
1, BEDOELEN-57, 4, 1, R
1, EILAND, 44, Baby_C, R
1, DAN-A-5, 4, 1, R
1, PT-1hand-1072, 4, 1, R
1, KIJKEN-A-22, 19, V, R
1, JA-A-296, 23, Y, R
1, PT-1hand:1-2076, 4, 1, R
1, KIND-B-4, 27, B_bent, R
1, BESTELLEN-C-1, 36, Money, R
1, KOMEN-A-64, 4, 1, R
1, HOOG-1, 27, B_bent, L
1, ECHT-B-49, 9, N, R
1, PT-1hand-2190, 4, 1, R
1, ROEPEN-C, 21, W, R
1, FILM-12, 36, Money, R
1, GEWOON-A-52, 4, 1, L
1, PT-1hand:1-1813, 4, 1, L
1, PT-1hand-4999, 4, 1, L
1, DOOR-B-7, 4, 1, R
1, PT:down-98, 4, 1, R
1, OEKRAINE-A, 36, Money, R
1, PT-1hand:1-301, 4, 1, L
1, PT-1hand-2250, 4, 1, R
1, NIET-A-90, 4, 1, R
1, VERVELEN-C-5, 17, S, R
1, KIND-A-17, 2, B, L
1, OMDAT-A-68, 17, S, R
1, PT:down-18, 4, 1, L
1, MEER-A-2, 4, 1, L
1, 1-A-26, 4, 1, R
1, DOOF-A-55, 4, 1, R
1, PT-1hand-4024, 4, 1, R
1, BEDOELEN-99, 4, 1, L
1, PT-1hand:1-1883, 4, 1, L
1, MAAT-SAGITTAAL-E-1, 3, C, R
1, ANDERS-B-63, 23, Y, R
1, KOMEN-A-55, 4, 1, L
1, PT-1hand-3425, 4, 1, R
1, WAT-A-20, 4, 1, R
1, REGIO-A-10, 25, 5, L
1, NACHT-3, 38, B_curved, R
1, 4-A-23, 30, 4, R
1, MENS-6, 27, B_bent, L
1, PT-1hand-4211, 4, 1, R
1, OPNEMEN-A-32, 26, Beak_open, R
1, PB-50, 2, B, R
1, WATER-A-14, 25, 5, L
1, BRUG-A-9, 38, B_curved, L
1, VINGERSPELLEN-25, 37, C_spread, L
1, 1-A-176, 4, 1, R
1, PT-1hand-69, 4, 1, R
1, OPNEMEN-A-49, 26, Beak_open, L
1, PT-1hand:1-2634, 4, 1, L
1, BALEN-A-8, 17, S, R
1, DENKEN-45, 4, 1, R
1, HAKKEN, 2, B, L
1, PT-1hand-5053, 4, 1, R
1, 2-A-109, 19, V, R
1, RESPECTEREN-2, 36, Money, L
1, HONGER-A-4, 25, 5, R
1, PT-1hand-1580, 4, 1, R
1, PT-1hand-848, 4, 1, L
1, SLAAN-C-20, 17, S, L
1, GOOIEN-B-6, 24, Baby_O, L
1, MOE-A-4, 27, B_bent, L
1, KOMEN-A-111, 4, 1, R
1, DENKEN-73, 4, 1, L
1, JA-A-15, 23, Y, R
1, PT-1hand-1231, 4, 1, R
1, IDEE-36, 4, 1, R
1, UUR-LANG+1-1, 4, 1, L
1, JA-A-82, 23, Y, R
1, MOOI-A-29, 18, T, L
1, PT-1hand-2147, 4, 1, R
1, 2-A-38, 19, V, R
1, PAS-B-10, 36, Money, R
1, DOOF-A-20, 4, 1, L
1, PT-1hand-172, 4, 1, R
1, NOG-NIET-10, 12, L, R
1, PT-1hand:1-2481, 4, 1, R
1, PT-1hand:1-1892, 4, 1, R
1, PERSOON-A-87, 44, Baby_C, L
1, KUNNEN-A-150, 17, S, R
1, PT-1hand-4830, 4, 1, L
1, LEUK-A-62, 16, Baby_beak_open, L
1, PT-1hand-786, 4, 1, L
1, PT-1hand:1-1149, 4, 1, L
1, STOUT-A, 1, A, R
1, WEG-B-28, 2, B, R
1, VROEGER-A-96, 2, B, R
1, PT-1hand:1-1549, 4, 1, L
1, PT-1hand-2, 4, 1, L
1, PT-1hand-836, 4, 1, R
1, PT-1hand:1-2429, 4, 1, R
1, NEE-B-15, 25, 5, L
1, PT-1hand:1-217, 4, 1, R
1, PT-1hand-1224, 4, 1, L
1, PT-1hand:1-1276, 4, 1, R
1, #C, 3, C, L
1, PT-1hand:1-1880, 4, 1, R
1, RUIMTE-A-18, 25, 5, L
1, BRUTAAL-C-1, 1, A, R
1, GEVEN-A-6, 36, Money, L
1, PT-1hand-4683, 4, 1, R
1, GUYOT-5, 2, B, R
1, ISRAEL-B, 10, I, L
1, WAT-C, 2, B, R
1, 5-22, 25, 5, L
1, VINDEN-A-23, 2, B, R
1, NIEUW-A-38, 45, Baby_beak, L
1, GOED-A-165, 1, A, R
1, KUNNEN-A-176, 17, S, R
1, HOEFT-NIET-A-9, 18, T, R
1, PT-1hand-3609, 4, 1, R
1, EERST-27, 4, 1, L
1, PT-1hand:1-343, 4, 1, R
1, PT-1hand:1-1532, 4, 1, R
1, PAKKEN-A-43, 25, 5, R
1, NIET-A-81, 4, 1, R
1, PT-1hand-843, 4, 1, R
1, HEBBEN-A-149, 2, B, R
1, PT-1hand-2635, 4, 1, R
1, PT-1hand:1-380, 4, 1, R
1, LAAT-A-5, 27, B_bent, L
1, LEEUW-B, 37, C_spread, L
1, KUNNEN-A-191, 17, S, R
1, OMDAT-A-66, 17, S, R
1, ANDERS-A-20, 1, A, R
1, AFRIKA-A-2, 42, Beak, R
1, PT-1hand-3375, 4, 1, R
1, KUNNEN-A-368, 17, S, L
1, KIND-A-49, 2, B, R
1, PT-1hand:1-2618, 4, 1, L
1, STEL-A-57, 2, B, L
1, 2-A-101, 19, V, L
1, PT-1hand:1-1827, 4, 1, R
1, MEER-A-56, 4, 1, R
1, PERSOON-A-31, 44, Baby_C, R
1, PT-1hand-5082, 4, 1, R
1, WANDELEN-9, 2, B, L
1, 1-A-48, 4, 1, R
1, ROEPEN:1-3, 27, B_bent, R
1, PT-1hand-2879, 4, 1, R
1, DENKEN-195, 4, 1, R
1, SENSEO-B-29, 41, V_curved, L
1, GEEL-A-3, 38, B_curved, L
1, PT-1hand:1-2755, 4, 1, R
1, VROEGER-A-37, 2, B, R
1, KUNNEN-A-337, 17, S, L
1, PT-Bhand:1-33, 2, B, R
1, 2-A-107, 19, V, L
1, #L-6, 12, L, R
1, PRINTEN-C, 41, V_curved, R
1, GOED-A-108, 1, A, L
1, OOK-B-5, 19, V, L
1, HOREN-A-91, 4, 1, R
1, PT-1hand-4713, 4, 1, R
1, NOG-A-5, 9, N, R
1, PT:up-17, 4, 1, L
1, PT-1hand-194, 4, 1, L
1, BESTELLEN-B, 19, V, R
1, PT-1hand:1-614, 4, 1, R
1, VERGETEN-A-14, 14, O, L
1, PT-1hand-2700, 4, 1, R
1, PT-1hand:1-907, 4, 1, L
1, PT-1hand-2589, 4, 1, L
1, HALT-4, 2, B, L
1, PT-1hand-4342, 4, 1, R
1, PT-1hand-3321, 4, 1, L
1, #U-3, 9, N, L
1, PT-1hand:1-1515, 4, 1, R
1, KIKKER-B-1, 23, Y, R
1, OOK-A-18, 2, B, L
1, AANBELLEN-2, 1, A, L
1, PT-1hand-1174, 4, 1, L
1, KLEIN-B-24, 10, I, R
1, EERST-6, 4, 1, L
1, PT-1hand-4479, 4, 1, R
1, NU-A-151, 4, 1, R
1, GELD-8, 36, Money, R
1, OOK-A-131, 2, B, L
1, PT-1hand-4318, 4, 1, R
1, JA-A-315, 23, Y, R
1, PT-1hand-15, 4, 1, R
1, KUNNEN-A-37, 17, S, R
1, VAN-A-54, 2, B, R
1, KOMEN-B-3, 2, B, R
1, DAN-A-147, 4, 1, R
1, NU-A-77, 4, 1, R
1, HOP-11, 4, 1, R
1, STEM-B-3, 2, B, R
1, PERSOON-A-15, 44, Baby_C, R
1, PT-1hand-1480, 4, 1, R
1, GRONINGEN-28, 37, C_spread, R
1, WANDELEN-16, 2, B, L
1, OPSTUREN-A-22, 40, Beak_spread, R
1, PT-1hand-3359, 4, 1, R
1, NU-A-172, 4, 1, L
1, VLEES-A-7, 22, 1_curved, R
1, BRUG-A, 38, B_curved, L
1, WAT-A-80, 4, 1, L
1, PT-1hand-261, 4, 1, R
1, PET-A-3, 36, Money, R
1, MOETEN-A-50, 4, 1, L
1, KLOPT-A-45, 11, K, R
1, HEBBEN-A-52, 2, B, R
1, STIL-A-6, 4, 1, R
1, PT:down-80, 4, 1, L
1, PT-1hand-4691, 4, 1, R
1, PT-1hand-3319, 4, 1, R
1, ANDERS-B-16, 23, Y, R
1, PT-1hand-1825, 4, 1, R
1, PT-1hand-2808, 4, 1, R
1, DAN-A-151, 4, 1, R
1, ALS-B-24, 23, Y, L
1, KOMEN-A-135, 4, 1, R
1, PT-1hand:1-1566, 4, 1, L
1, KRACHT-5, 17, S, R
1, VINDEN-B-3, 18, T, L
1, VAN-A-77, 2, B, R
1, TEMPO, 17, S, R
1, GOED-A-133, 1, A, R
1, PT-1hand-3028, 4, 1, R
1, PT-1hand-4660, 4, 1, L
1, PERSOON-A-26, 44, Baby_C, R
1, JA-A-425, 23, Y, R
1, PT-1hand-321, 4, 1, R
1, 4-A-22, 30, 4, L
1, PT-1hand-232, 4, 1, R
1, DRUGS-A-1, 1, A, R
1, ACHTER-B-2, 38, B_curved, L
1, MOSKOU, 17, S, L
1, KRACHT-27, 17, S, R
1, GOED-A-65, 1, A, R
1, NIET-A-232, 4, 1, R
1, PROBEREN-A-33, 9, N, R
1, VINGERSPELLEN-26, 37, C_spread, L
1, VROEGER-A-107, 2, B, R
1, GRAPPIG-A-15, 1, A, R
1, ALLEEN-A-8, 4, 1, R
1, PAS-B, 36, Money, R
1, WAAR-D, 18, T, R
1, PIJN-A-9, 25, 5, R
1, PT-1hand:1-136, 4, 1, R
1, DAN-A-42, 4, 1, R
1, SCHOOL-A-77, 18, T, L
1, HOREN-B-27, 19, V, L
1, GOED-A-74, 1, A, R
1, SENSEO-I, 3, C, R
1, SENSEO-B, 41, V_curved, R
1, PAS-A-13, 27, B_bent, R
1, NIET-A-184, 4, 1, L
1, DAN-A-167, 4, 1, R
1, NAAST-4, 2, B, R
1, PRATEN-A-1, 26, Beak_open, R
1, 1-A-186, 4, 1, R
1, PT-1hand-4178, 4, 1, R
1, PT-1hand-216, 4, 1, R
1, PT-1hand:1-2529, 4, 1, R
1, PT-1hand:1-508, 4, 1, L
1, GRONINGEN-49, 37, C_spread, R
1, VAKANTIE-9, 2, B, R
1, PT-1hand:1-2480, 4, 1, R
1, DAG-8, 4, 1, R
1, RUIMTE-A-80, 25, 5, L
1, CI-A-10, 41, V_curved, L
1, DENKEN-156, 4, 1, R
1, PT-1hand-2886, 4, 1, L
1, PT-1hand-2784, 4, 1, R
1, UITCHECKEN-B-1, 42, Beak, L
1, NA-B, 2, B, L
1, PRATEN-A-89, 26, Beak_open, L
1, TELHAND-3, 17, S, L
1, AFSPRAAK-C-1, 18, T, R
1, ACHTER-B-15, 38, B_curved, R
1, SENSEO-I-4, 3, C, L
1, ERG-A-62, 18, T, R
1, WATER-C-9, 43, 5m, R
1, PT-1hand-2822, 4, 1, R
1, GEZICHT-A-10, 4, 1, R
1, KRACHT-3, 17, S, R
1, KOMEN-A-116, 4, 1, L
1, DOOF-C-84, 4, 1, R
1, 77-C, 12, L, R
1, PT-1hand-4292, 4, 1, R
1, PT-1hand-1737, 4, 1, R
1, PT-1hand-4412, 4, 1, R
1, NU-A-50, 4, 1, R
1, VREEMD-B-7, 23, Y, R
1, JA-A-154, 23, Y, R
1, DOOF-B-71, 9, N, R
1, PT-1hand-2106, 4, 1, R
1, IDENTITEIT-5, 10, I, L
1, PT-1hand:1-1171, 4, 1, R
1, SLAAN-C-14, 17, S, R
1, WETEN-B-IK, 2, B, L
1, NOG-NIET-3, 12, L, R
1, PT-1hand-3115, 4, 1, R
1, TOEVALLIG-B, 2, B, L
1, KIJKEN-A-142, 19, V, R
1, EVEN-DENKEN-D-39, 2, B, L
