2a, OBJECTIEF-1, 41, V_curved, L
2a, PT:wijs-11, 4, 1, L
2a, PT:wijs-11, 4, 1, R
2a, PT:wijs-39, 4, 1, L
2a, PT:wijs-39, 4, 1, R
2a, NMG-3, 2, B, L
2a, NMG-3, 2, B, R
2a, PT:wijs-25, 4, 1, L
2a, PT:wijs-25, 4, 1, R
2a, SCHRIJVEN-B-6, 2, B, L
2a, SCHRIJVEN-B-6, 18, T, R
2a, UITEN-B-1, 37, C_spread, L
2a, UITEN-B-1, 2, B, R
2a, JEZUS-A-2, 43, 5m, L
2a, JEZUS-A-2, 2, B, R
2a, PT:ring-7, 25, 5, L
2a, PT:ring-7, 4, 1, R
2a, SCHERP-A, 2, B, L
2a, SCHERP-A, 4, 1, R
2a, LAATSTE-B-14, 2, B, L
2a, LAATSTE-B-14, 23, Y, R
2a, EIGENWIJS-4, 2, B, L
2a, EIGENWIJS-4, 2, B, R
2a, SCHOOL-B-1, 2, B, L
2a, SCHOOL-B-1, 18, T, R
2a, POEZIE, 25, 5, L
2a, POEZIE, 25, 5, R
2a, BANAAN-A-3, 36, Money, L
2a, BANAAN-A-3, 17, S, R
2a, BESTEMPELEN-B-3, 2, B, L
2a, BESTEMPELEN-B-3, 17, S, R
2a, TECHNIEK-3, 2, B, L
2a, TECHNIEK-3, 19, V, R
2a, BOOM-A-6, 25, 5, L
2a, BOOM-A-6, 2, B, R
2a, 6-B-1, 25, 5, L
2a, 6-B-1, 1, A, R
2a, PT:ring-22, 25, 5, L
2a, PT:ring-22, 4, 1, R
2a, IN-E-5, 4, 1, L
2a, IN-E-5, 4, 1, R
2a, PT:pink-2, 25, 5, L
2a, PT:pink-2, 4, 1, R
2a, SPAREN-B-1, 3, C, L
2a, SPAREN-B-1, 45, Baby_beak, R
2a, WIM-EMMERIK, 2, B, L
2a, WIM-EMMERIK, 21, W, R
2a, BESLUITEN-D, 2, B, L
2a, BESLUITEN-D, 42, Beak, R
2a, PT:ring-8, 4, 1, L
2a, PT:ring-8, 4, 1, R
2a, KOFFIE-C, 18, T, L
2a, KOFFIE-C, 3, C, R
2a, VERBAASD-C-2, 2, B, L
2a, VERBAASD-C-2, 38, B_curved, R
2a, PT:duim-26, 4, 1, L
2a, PT:duim-26, 4, 1, R
2a, DOLLAR-B-6, 42, Beak, L
2a, DOLLAR-B-6, 42, Beak, R
2a, PT:wijs-67, 4, 1, L
2a, PT:wijs-67, 4, 1, R
2a, OVER-A-11, 38, B_curved, L
2a, OVER-A-11, 2, B, R
2a, VERZEKERING-A, 2, B, L
2a, VERZEKERING-A, 17, S, R
2a, SCHILDPAD-A-59, 38, B_curved, L
2a, SCHILDPAD-A-59, 1, A, R
2a, LAND-B, 2, B, L
2a, LAND-B, 12, L, R
2a, BEKEURING-1, 2, B, L
2a, BEKEURING-1, 1, A, R
2a, BIER-A-14, 17, S, L
2a, BIER-A-14, 17, S, R
2a, SCHOOL-B-7, 2, B, L
2a, SCHOOL-B-7, 18, T, R
2a, CAFE-A-3, 3, C, L
2a, CAFE-A-3, 17, S, R
2a, GEBRUIKEN-C-8, 2, B, L
2a, GEBRUIKEN-C-8, 4, 1, R
2a, ONGELUK-B, 25, 5, L
2a, ONGELUK-B, 17, S, R
2a, 8-B-3, 25, 5, L
2a, 8-B-3, 21, W, R
2a, VOETBALLEN-B-3, 19, V, L
2a, VOETBALLEN-B-3, 19, V, R
2a, LETTERLIJK, 12, L, L
2a, LETTERLIJK, 2, B, R
2a, SCHILDPAD-A-7, 38, B_curved, L
2a, SCHILDPAD-A-7, 1, A, R
2a, PT:mid-37, 4, 1, L
2a, PT:mid-37, 4, 1, R
2a, VINGERSPELLEN-HAND-4, 25, 5, L
2a, VINGERSPELLEN-HAND-4, 25, 5, R
2a, ACHTEROP, 19, V, L
2a, ACHTEROP, 2, B, R
2a, GEBRUIKEN-C-18, 2, B, L
2a, GEBRUIKEN-C-18, 4, 1, R
2a, SCHRIJVEN-D-21, 2, B, L
2a, SCHRIJVEN-D-21, 24, Baby_O, R
2a, TEKST-A, 2, B, L
2a, TEKST-A, 27, B_bent, R
2a, SCHOOL-B-2, 2, B, L
2a, SCHOOL-B-2, 2, B, R
2a, SENSEO-F-3, 3, C, L
2a, SENSEO-F-3, 41, V_curved, R
2a, WEEKEND-A-2, 2, B, L
2a, WEEKEND-A-2, 17, S, R
2a, ENZOVOORTS-A-9, 4, 1, L
2a, ENZOVOORTS-A-9, 4, 1, R
2a, PT:pink-5, 25, 5, L
2a, PT:pink-5, 4, 1, R
2a, HOTEL-B-3, 41, V_curved, L
2a, HOTEL-B-3, 41, V_curved, R
2a, SENSEO-G-2, 3, C, L
2a, SENSEO-G-2, 41, V_curved, R
2a, POLITIEK-A-4, 19, V, L
2a, POLITIEK-A-4, 19, V, R
2a, NAAIEN-A, 2, B, L
2a, NAAIEN-A, 18, T, R
2a, PT:mid-35, 4, 1, L
2a, PT:mid-35, 4, 1, R
2a, OVER-A-2, 2, B, L
2a, OVER-A-2, 38, B_curved, R
2a, NAAM-D-4, 2, B, L
2a, NAAM-D-4, 18, T, R
2a, SCHILDPAD-A-23, 38, B_curved, L
2a, SCHILDPAD-A-23, 1, A, R
2a, BETALEN, 2, B, L
2a, BETALEN, 1, A, R
2a, LAATSTE-B-2, 2, B, L
2a, LAATSTE-B-2, 23, Y, R
2a, BETALEN-3, 2, B, L
2a, BETALEN-3, 1, A, R
2a, BESLUITEN-C-3, 2, B, L
2a, BESLUITEN-C-3, 17, S, R
2a, OVER-A-6, 38, B_curved, L
2a, OVER-A-6, 2, B, R
2a, AF-A-7, 2, B, L
2a, AF-A-7, 2, B, R
2a, SENSEO-F-6, 3, C, L
2a, SENSEO-F-6, 41, V_curved, R
2a, ALSOF-B, 17, S, L
2a, ALSOF-B, 25, 5, R
2a, KLOK-C, 17, S, L
2a, KLOK-C, 4, 1, R
2a, PT:duim-2, 4, 1, L
2a, PT:duim-2, 4, 1, R
2a, TEGEN-AAN-LOPEN-A-1, 2, B, L
2a, TEGEN-AAN-LOPEN-A-1, 17, S, R
2a, HARD-A-2, 22, 1_curved, L
2a, HARD-A-2, 22, 1_curved, R
2a, PT:mid-48, 4, 1, L
2a, PT:mid-48, 4, 1, R
2a, TEGEN-AAN-LOPEN-A, 2, B, L
2a, TEGEN-AAN-LOPEN-A, 17, S, R
2a, ONTSLAAN-A-2, 2, B, L
2a, ONTSLAAN-A-2, 1, A, R
2a, BLIJ-B-1, 2, B, L
2a, BLIJ-B-1, 2, B, R
2a, HARD-B-1, 2, B, L
2a, HARD-B-1, 22, 1_curved, R
2a, TWEETALIG-4, 19, V, L
2a, TWEETALIG-4, 19, V, R
2a, SCHRIJVEN-B-19, 2, B, L
2a, SCHRIJVEN-B-19, 18, T, R
2a, OVER-A-1, 38, B_curved, L
2a, OVER-A-1, 2, B, R
2a, PT:duim-21, 4, 1, L
2a, PT:duim-21, 4, 1, R
2a, PT:ring-5, 4, 1, L
2a, PT:ring-5, 4, 1, R
2a, BOOM-A-7, 25, 5, L
2a, BOOM-A-7, 25, 5, R
2a, GEBRUIKEN-C-6, 2, B, L
2a, GEBRUIKEN-C-6, 4, 1, R
2a, HOTEL-B-2, 41, V_curved, L
2a, HOTEL-B-2, 41, V_curved, R
2a, ONDERDRUKKEN-A-1, 25, 5, L
2a, ONDERDRUKKEN-A-1, 25, 5, R
2a, WIFI-B, 4, 1, L
2a, WIFI-B, 30, 4, R
2a, SCHRIJVEN-D-13, 2, B, L
2a, SCHRIJVEN-D-13, 24, Baby_O, R
2a, BEMOEIEN-A-1, 40, Beak_spread, L
2a, BEMOEIEN-A-1, 40, Beak_spread, R
2a, PT:wijs-12, 4, 1, L
2a, PT:wijs-12, 4, 1, R
2a, NAAM-D-1, 2, B, L
2a, NAAM-D-1, 18, T, R
2a, PT:mid-33, 4, 1, L
2a, PT:mid-33, 4, 1, R
2a, LAATSTE-B-9, 2, B, L
2a, LAATSTE-B-9, 23, Y, R
2a, SCHRIJVEN-D-20, 2, B, L
2a, SCHRIJVEN-D-20, 24, Baby_O, R
2a, EENZAAM-2, 3, C, L
2a, EENZAAM-2, 4, 1, R
2a, INSTAGRAM-A, 2, B, L
2a, INSTAGRAM-A, 44, Baby_C, R
2a, SCHILDPAD-A-67, 38, B_curved, L
2a, SCHILDPAD-A-67, 1, A, R
2a, GEBARENINZICHT, 25, 5, L
2a, GEBARENINZICHT, 19, V, R
2a, EENZAAM-1, 3, C, L
2a, EENZAAM-1, 4, 1, R
2a, GEBRUIKEN-A-6, 2, B, L
2a, GEBRUIKEN-A-6, 2, B, R
2a, PT:duim-17, 25, 5, L
2a, PT:duim-17, 4, 1, R
2a, PT:pink-1, 25, 5, L
2a, PT:pink-1, 4, 1, R
2a, ONDERDRUKKEN-A-4, 17, S, L
2a, ONDERDRUKKEN-A-4, 25, 5, R
2a, ENZOVOORTS-A-2, 4, 1, L
2a, ENZOVOORTS-A-2, 4, 1, R
2a, VINGERSPELLEN-HAND-1, 38, B_curved, L
2a, VINGERSPELLEN-HAND-1, 38, B_curved, R
2a, NEW-YORK, 2, B, L
2a, NEW-YORK, 23, Y, R
2a, AFHAKEN, 3, C, L
2a, AFHAKEN, 41, V_curved, R
2a, INVLOED-A, 17, S, L
2a, INVLOED-A, 25, 5, R
2a, BIJBEL-B, 2, B, L
2a, BIJBEL-B, 9, N, R
2a, BETALEN-7, 1, A, L
2a, BETALEN-7, 1, A, R
2a, PT:wijs-75, 4, 1, L
2a, PT:wijs-75, 4, 1, R
2a, SCHILDPAD-A-46, 38, B_curved, L
2a, SCHILDPAD-A-46, 1, A, R
2a, PT:wijs-29, 4, 1, L
2a, PT:wijs-29, 4, 1, R
2a, BESLUITEN-C-5, 2, B, L
2a, BESLUITEN-C-5, 17, S, R
2a, OVER-A-37, 38, B_curved, L
2a, OVER-A-37, 38, B_curved, R
2a, AF-A-12, 2, B, L
2a, AF-A-12, 2, B, R
2a, PT:mid-16, 4, 1, L
2a, PT:mid-16, 4, 1, R
2a, SCHILDPAD-A-60, 1, A, L
2a, SCHILDPAD-A-60, 1, A, R
2a, MAXIMUM-B, 27, B_bent, L
2a, MAXIMUM-B, 2, B, R
2a, JEZUS-A-3, 43, 5m, L
2a, JEZUS-A-3, 43, 5m, R
2a, TWEETALIG-5, 19, V, L
2a, TWEETALIG-5, 19, V, R
2a, HARD-B-5, 2, B, L
2a, HARD-B-5, 22, 1_curved, R
2a, AMSTEL-A, 3, C, L
2a, AMSTEL-A, 3, C, R
2a, BETALEN-6, 2, B, L
2a, BETALEN-6, 1, A, R
2a, BLIJ-B, 2, B, L
2a, BLIJ-B, 38, B_curved, R
2a, ONAFHANKELIJK, 3, C, L
2a, ONAFHANKELIJK, 22, 1_curved, R
2a, MASKEN-1, 4, 1, L
2a, MASKEN-1, 25, 5, R
2a, SCHILDPAD-A-1, 38, B_curved, L
2a, SCHILDPAD-A-1, 1, A, R
2a, CHAMPIGNON-C-1, 2, B, L
2a, CHAMPIGNON-C-1, 1, A, R
2a, 6-B-7, 25, 5, L
2a, 6-B-7, 1, A, R
2a, WORST-B, 17, S, L
2a, WORST-B, 2, B, R
2a, ONGELUK-B-2, 25, 5, L
2a, ONGELUK-B-2, 17, S, R
2a, PT:mid-12, 4, 1, L
2a, PT:mid-12, 4, 1, R
2a, PT:wijs-66, 4, 1, L
2a, PT:wijs-66, 4, 1, R
2a, BESTEMPELEN-B-6, 2, B, L
2a, BESTEMPELEN-B-6, 17, S, R
2a, SCHILDPAD-A-8, 1, A, L
2a, SCHILDPAD-A-8, 38, B_curved, R
2a, EDE-4, 1, A, L
2a, EDE-4, 1, A, R
2a, JARIG-A-3, 26, Beak_open, L
2a, JARIG-A-3, 2, B, R
2a, PT:wijs-56, 25, 5, L
2a, PT:wijs-56, 4, 1, R
2a, VOETBALLEN-D-1, 17, S, L
2a, VOETBALLEN-D-1, 2, B, R
2a, PROJECT-1, 2, B, L
2a, PROJECT-1, 36, Money, R
2a, SCHILDPAD-A-41, 38, B_curved, L
2a, SCHILDPAD-A-41, 1, A, R
2a, CONTEXT-C, 25, 5, L
2a, CONTEXT-C, 4, 1, R
2a, REGELS-C, 2, B, L
2a, REGELS-C, 4, 1, R
2a, SCHOOL-B-10, 2, B, L
2a, SCHOOL-B-10, 18, T, R
2a, GEBOREN-D, 3, C, L
2a, GEBOREN-D, 17, S, R
2a, KERN, 2, B, L
2a, KERN, 43, 5m, R
2a, CURRICULUM, 2, B, L
2a, CURRICULUM, 2, B, R
2a, BIER-A-10, 3, C, L
2a, BIER-A-10, 17, S, R
2a, DUIKEN-C-1, 2, B, L
2a, DUIKEN-C-1, 19, V, R
2a, GESLACHT-B-1, 19, V, L
2a, GESLACHT-B-1, 4, 1, R
2a, PT:ring-11, 25, 5, L
2a, PT:ring-11, 4, 1, R
2a, SCHRIJVEN-B-21, 2, B, L
2a, SCHRIJVEN-B-21, 18, T, R
2a, PT:wijs-26, 4, 1, L
2a, PT:wijs-26, 4, 1, R
2a, NAAIEN-A-1, 2, B, L
2a, NAAIEN-A-1, 18, T, R
2a, SAAI-C-1, 2, B, L
2a, SAAI-C-1, 41, V_curved, R
2a, PT:duim-4, 4, 1, L
2a, PT:duim-4, 4, 1, R
2a, AF-A-13, 2, B, L
2a, AF-A-13, 2, B, R
2a, OVER-A-47, 38, B_curved, L
2a, OVER-A-47, 38, B_curved, R
2a, GEBRUIKEN-A-26, 2, B, L
2a, GEBRUIKEN-A-26, 2, B, R
2a, SANDAAL-A, 2, B, L
2a, SANDAAL-A, 22, 1_curved, R
2a, VANUIT, 2, B, L
2a, VANUIT, 4, 1, R
2a, JANUARI-A, 2, B, L
2a, JANUARI-A, 2, B, R
2a, COACH-B-2, 2, B, L
2a, COACH-B-2, 2, B, R
2a, PT:wijs-49, 4, 1, L
2a, PT:wijs-49, 4, 1, R
2a, TEENSLIPPER-E, 4, 1, L
2a, TEENSLIPPER-E, 25, 5, R
2a, SCHRIJVEN-B-7, 2, B, L
2a, SCHRIJVEN-B-7, 2, B, R
2a, JARIG-A-10, 2, B, L
2a, JARIG-A-10, 26, Beak_open, R
2a, DOLLAR-B-5, 42, Beak, L
2a, DOLLAR-B-5, 42, Beak, R
2a, VOETBALLEN-B-1, 19, V, L
2a, VOETBALLEN-B-1, 2, B, R
2a, BESLUITEN-C-2, 2, B, L
2a, BESLUITEN-C-2, 17, S, R
2a, IN-SLAAP-VALLEN-A, 2, B, L
2a, IN-SLAAP-VALLEN-A, 4, 1, R
2a, 6-B-2, 25, 5, L
2a, 6-B-2, 1, A, R
2a, IN-SLAAP-VALLEN-A-1, 2, B, L
2a, IN-SLAAP-VALLEN-A-1, 4, 1, R
2a, BOOM-A-8, 25, 5, L
2a, BOOM-A-8, 25, 5, R
2a, SPRINGEN-1, 2, B, L
2a, SPRINGEN-1, 19, V, R
2a, SYRIE-B-1, 2, B, L
2a, SYRIE-B-1, 19, V, R
2a, PASTA-A, 2, B, L
2a, PASTA-A, 19, V, R
2a, PLEISTER-C, 2, B, L
2a, PLEISTER-C, 1, A, R
2a, SCHRIJVEN-B-3, 2, B, L
2a, SCHRIJVEN-B-3, 18, T, R
2a, ENZOVOORTS-A-29, 4, 1, L
2a, ENZOVOORTS-A-29, 4, 1, R
2a, SCHILDPAD-A-38, 38, B_curved, L
2a, SCHILDPAD-A-38, 1, A, R
2a, IN-E-4, 4, 1, L
2a, IN-E-4, 4, 1, R
2a, SCHOOL-E, 2, B, L
2a, SCHOOL-E, 24, Baby_O, R
2a, 7-B-4, 25, 5, L
2a, 7-B-4, 12, L, R
2a, LIJST-A-1, 2, B, L
2a, LIJST-A-1, 44, Baby_C, R
2a, PT:duim-15, 4, 1, L
2a, PT:duim-15, 4, 1, R
2a, NAAM-D-2, 2, B, L
2a, NAAM-D-2, 18, T, R
2a, ENZOVOORTS-A-22, 30, 4, L
2a, ENZOVOORTS-A-22, 4, 1, R
2a, SCHILDPAD-A-63, 1, A, L
2a, SCHILDPAD-A-63, 1, A, R
2a, PT:mid-36, 4, 1, L
2a, PT:mid-36, 4, 1, R
2a, TAPPEN, 3, C, L
2a, TAPPEN, 17, S, R
2a, BURN-OUT-A, 26, Beak_open, L
2a, BURN-OUT-A, 26, Beak_open, R
2a, GEBRUIKEN-C-15, 2, B, L
2a, GEBRUIKEN-C-15, 4, 1, R
2a, BIJ-C-4, 2, B, L
2a, BIJ-C-4, 2, B, R
2a, SCHILDPAD-B-1, 38, B_curved, L
2a, SCHILDPAD-B-1, 4, 1, R
2a, FALEN, 3, C, L
2a, FALEN, 3, C, R
2a, SCHILDPAD-A-14, 1, A, L
2a, SCHILDPAD-A-14, 38, B_curved, R
2a, PT:mid-18, 4, 1, L
2a, PT:mid-18, 4, 1, R
2a, FOUT-A-4, 2, B, L
2a, FOUT-A-4, 4, 1, R
2a, TOEVOEGEN-B-1, 2, B, L
2a, TOEVOEGEN-B-1, 36, Money, R
2a, YOUTUBE-A-1, 3, C, L
2a, YOUTUBE-A-1, 23, Y, R
2a, AF-A-3, 2, B, L
2a, AF-A-3, 2, B, R
2a, SCHRIJVEN-D-32, 24, Baby_O, L
2a, SCHRIJVEN-D-32, 2, B, R
2a, VOETBALLEN-B-10, 2, B, L
2a, VOETBALLEN-B-10, 19, V, R
2a, OVER-A-24, 38, B_curved, L
2a, OVER-A-24, 2, B, R
2a, PT:wijs-61, 4, 1, L
2a, PT:wijs-61, 4, 1, R
2a, DRAAIORGEL-7, 3, C, L
2a, DRAAIORGEL-7, 17, S, R
2a, SPRINGEN, 2, B, L
2a, SPRINGEN, 19, V, R
2a, WAARDEN, 2, B, L
2a, WAARDEN, 36, Money, R
2a, PT:duim-12, 4, 1, L
2a, PT:duim-12, 4, 1, R
2a, NAAM-B-1, 44, Baby_C, L
2a, NAAM-B-1, 44, Baby_C, R
2a, GEBRUIKEN-C-2, 2, B, L
2a, GEBRUIKEN-C-2, 4, 1, R
2a, PT:mid-52, 4, 1, L
2a, PT:mid-52, 4, 1, R
2a, VOETBALLEN-B-9, 2, B, L
2a, VOETBALLEN-B-9, 19, V, R
2a, METAFOOR, 4, 1, L
2a, METAFOOR, 2, B, R
2a, SCHILDPAD-A-13, 38, B_curved, L
2a, SCHILDPAD-A-13, 1, A, R
2a, LAATSTE-B-6, 2, B, L
2a, LAATSTE-B-6, 23, Y, R
2a, AF-A-1, 2, B, L
2a, AF-A-1, 2, B, R
2a, PT:wijs-71, 4, 1, L
2a, PT:wijs-71, 4, 1, R
2a, WALVIS-1, 2, B, L
2a, WALVIS-1, 2, B, R
2a, 6-B, 25, 5, L
2a, 6-B, 1, A, R
2a, BLOEM-A-5, 3, C, L
2a, BLOEM-A-5, 40, Beak_spread, R
2a, PT:mid-27, 4, 1, L
2a, PT:mid-27, 4, 1, R
2a, EDE-3, 2, B, L
2a, EDE-3, 1, A, R
2a, GEBRUIKEN-A-17, 2, B, L
2a, GEBRUIKEN-A-17, 2, B, R
2a, SCHILDPAD-A-15, 1, A, L
2a, SCHILDPAD-A-15, 38, B_curved, R
2a, VOETBALLEN-B-14, 19, V, L
2a, VOETBALLEN-B-14, 19, V, R
2a, AF-A-9, 2, B, L
2a, AF-A-9, 2, B, R
2a, SCHRIJVEN-D-28, 2, B, L
2a, SCHRIJVEN-D-28, 24, Baby_O, R
2a, BRIEF-A-2, 2, B, L
2a, BRIEF-A-2, 1, A, R
2a, VERHEUGEN-1, 17, S, L
2a, VERHEUGEN-1, 17, S, R
2a, BEITEL, 17, S, L
2a, BEITEL, 17, S, R
2a, OVER-A-44, 2, B, L
2a, OVER-A-44, 38, B_curved, R
2a, ALSOF-B-1, 25, 5, L
2a, ALSOF-B-1, 25, 5, R
2a, BIER-B-4, 41, V_curved, L
2a, BIER-B-4, 41, V_curved, R
2a, KRENTENBOL-B, 17, S, L
2a, KRENTENBOL-B, 22, 1_curved, R
2a, GEBRUIKEN-A-15, 2, B, L
2a, GEBRUIKEN-A-15, 9, N, R
2a, SCHILDPAD-A-52, 38, B_curved, L
2a, SCHILDPAD-A-52, 1, A, R
2a, GEBRUIKEN-A-2, 2, B, L
2a, GEBRUIKEN-A-2, 9, N, R
2a, DANSEN-A-1, 2, B, L
2a, DANSEN-A-1, 19, V, R
2a, SCHRIJVEN-D-22, 24, Baby_O, L
2a, SCHRIJVEN-D-22, 2, B, R
2a, PT:mid-4, 4, 1, L
2a, PT:mid-4, 4, 1, R
2a, SCHRIJVEN-D-31, 2, B, L
2a, SCHRIJVEN-D-31, 24, Baby_O, R
2a, MAAND-C, 2, B, L
2a, MAAND-C, 1, A, R
2a, SCHRIJVEN-D-14, 2, B, L
2a, SCHRIJVEN-D-14, 24, Baby_O, R
2a, OVER-A-26, 38, B_curved, L
2a, OVER-A-26, 38, B_curved, R
2a, PT:wijs-34, 4, 1, L
2a, PT:wijs-34, 4, 1, R
2a, TOEVOEGEN-B, 2, B, L
2a, TOEVOEGEN-B, 36, Money, R
2a, SCHILDPAD-A-22, 1, A, L
2a, SCHILDPAD-A-22, 38, B_curved, R
2a, AARDAPPEL-A, 3, C, L
2a, AARDAPPEL-A, 22, 1_curved, R
2a, SCHILDPAD-A-24, 38, B_curved, L
2a, SCHILDPAD-A-24, 1, A, R
2a, TWEETALIG-1, 19, V, L
2a, TWEETALIG-1, 19, V, R
2a, SCHRIJVEN-D-29, 2, B, L
2a, SCHRIJVEN-D-29, 24, Baby_O, R
2a, SRI-LANKA-B, 2, B, L
2a, SRI-LANKA-B, 1, A, R
2a, SCHILDPAD-A-5, 1, A, L
2a, SCHILDPAD-A-5, 38, B_curved, R
2a, PT:ring-9, 25, 5, L
2a, PT:ring-9, 4, 1, R
2a, STAAT, 17, S, L
2a, STAAT, 2, B, R
2a, GEBRUIKEN-A-16, 2, B, L
2a, GEBRUIKEN-A-16, 9, N, R
2a, KAAS-C, 2, B, L
2a, KAAS-C, 23, Y, R
2a, PESTO, 25, 5, L
2a, PESTO, 30, 4, R
2a, ANALE-SEKS-B, 17, S, L
2a, ANALE-SEKS-B, 12, L, R
2a, GEBOREN-D-1, 3, C, L
2a, GEBOREN-D-1, 17, S, R
2a, 18-C-1, 25, 5, L
2a, 18-C-1, 25, 5, R
2a, TEENSLIPPER-C, 30, 4, L
2a, TEENSLIPPER-C, 4, 1, R
2a, SCHILDPAD-A-19, 38, B_curved, L
2a, SCHILDPAD-A-19, 1, A, R
2a, PT:mid-39, 4, 1, L
2a, PT:mid-39, 4, 1, R
2a, 6-B-6, 25, 5, L
2a, 6-B-6, 1, A, R
2a, IN-E-1, 3, C, L
2a, IN-E-1, 4, 1, R
2a, PT:wijs-36, 4, 1, L
2a, PT:wijs-36, 4, 1, R
2a, SCHILDPAD-A-54, 38, B_curved, L
2a, SCHILDPAD-A-54, 1, A, R
2a, TOT-NU-A, 2, B, L
2a, TOT-NU-A, 27, B_bent, R
2a, SCHRIJVEN-B-18, 2, B, L
2a, SCHRIJVEN-B-18, 2, B, R
2a, BLOEM-A-3, 40, Beak_spread, L
2a, BLOEM-A-3, 3, C, R
2a, PT:wijs-14, 4, 1, L
2a, PT:wijs-14, 4, 1, R
2a, ONDERDRUKKEN-B, 4, 1, L
2a, ONDERDRUKKEN-B, 25, 5, R
2a, DRAAIORGEL-11, 3, C, L
2a, DRAAIORGEL-11, 17, S, R
2a, OVER-A-18, 38, B_curved, L
2a, OVER-A-18, 38, B_curved, R
2a, PT:wijs-1, 4, 1, L
2a, PT:wijs-1, 4, 1, R
2a, NOORD-AMERIKA-A, 1, A, L
2a, EIGENWIJS-1, 2, B, L
2a, EIGENWIJS-1, 2, B, R
2a, AF-A-5, 25, 5, L
2a, AF-A-5, 2, B, R
2a, MSN-B-4, 2, B, L
2a, MSN-B-4, 2, B, R
2a, GEBRUIKEN-A-23, 2, B, L
2a, GEBRUIKEN-A-23, 9, N, R
2a, SENSEO-G-5, 3, C, L
2a, SENSEO-G-5, 41, V_curved, R
2a, AARDAPPEL-B, 2, B, L
2a, AARDAPPEL-B, 22, 1_curved, R
2a, SCHILDPAD-A-65, 38, B_curved, L
2a, SCHILDPAD-A-65, 1, A, R
2a, SCHRIJVEN-D-35, 2, B, L
2a, SCHRIJVEN-D-35, 24, Baby_O, R
2a, MARTINE-WATTEL, 2, B, L
2a, MARTINE-WATTEL, 13, M, R
2a, PT:wijs-33, 4, 1, L
2a, PT:wijs-33, 4, 1, R
2a, PT:wijs-28, 4, 1, L
2a, PT:wijs-28, 4, 1, R
2a, BESLUITEN-C-1, 2, B, L
2a, BESLUITEN-C-1, 17, S, R
2a, ENZOVOORTS-C-4, 25, 5, L
2a, ENZOVOORTS-C-4, 25, 5, R
2a, BIER-B-9, 41, V_curved, L
2a, BIER-B-9, 41, V_curved, R
2a, SCHILDPAD-A-21, 1, A, L
2a, SCHILDPAD-A-21, 38, B_curved, R
2a, VERDOMME-C-2, 2, B, L
2a, VERDOMME-C-2, 17, S, R
2a, BIER-A-7, 3, C, L
2a, BIER-A-7, 17, S, R
2a, OVER-A-31, 2, B, L
2a, OVER-A-31, 38, B_curved, R
2a, SCHRIJVEN-D-9, 2, B, L
2a, SCHRIJVEN-D-9, 24, Baby_O, R
2a, SCHILDPAD-A-37, 38, B_curved, L
2a, SCHILDPAD-A-37, 1, A, R
2a, BESTEMPELEN-B-4, 2, B, L
2a, BESTEMPELEN-B-4, 17, S, R
2a, VERSTOPT-RAKEN, 17, S, L
2a, VERSTOPT-RAKEN, 17, S, R
2a, SCHOOL-B-4, 2, B, L
2a, SCHOOL-B-4, 18, T, R
2a, SCHILDPAD-A-26, 1, A, L
2a, SCHILDPAD-A-26, 38, B_curved, R
2a, OVER-A-23, 38, B_curved, L
2a, OVER-A-23, 38, B_curved, R
2a, PT:mid-38, 4, 1, L
2a, PT:mid-38, 4, 1, R
2a, DOLLAR-B-4, 42, Beak, L
2a, DOLLAR-B-4, 42, Beak, R
2a, SCHILDPAD-A-45, 1, A, L
2a, SCHILDPAD-A-45, 1, A, R
2a, SCHILDPAD-A-3, 38, B_curved, L
2a, SCHILDPAD-A-3, 38, B_curved, R
2a, PT:mid-2, 25, 5, L
2a, PT:mid-2, 4, 1, R
2a, JAMMER-C, 2, B, L
2a, JAMMER-C, 17, S, R
2a, GEBRUIKEN-C-7, 2, B, L
2a, GEBRUIKEN-C-7, 4, 1, R
2a, ECHT-WAAR-1, 9, N, L
2a, ECHT-WAAR-1, 9, N, R
2a, PT:mid-51, 4, 1, L
2a, PT:mid-51, 4, 1, R
2a, VERFIJNEN, 4, 1, L
2a, VERFIJNEN, 17, S, R
2a, TWEETALIG-3, 19, V, L
2a, TWEETALIG-3, 19, V, R
2a, PT:duim-18, 4, 1, L
2a, PT:duim-18, 4, 1, R
2a, PT:duim-23, 4, 1, L
2a, PT:duim-23, 4, 1, R
2a, PT:mid-42, 4, 1, L
2a, PT:mid-42, 4, 1, R
2a, ENZOVOORTS-A-21, 4, 1, L
2a, ENZOVOORTS-A-21, 4, 1, R
2a, LEZEN-B, 2, B, L
2a, LEZEN-B, 19, V, R
2a, VERZAMELEN-C-2, 25, 5, L
2a, VERZAMELEN-C-2, 2, B, R
2a, PT:wijs-4, 4, 1, L
2a, PT:wijs-4, 4, 1, R
2a, AMSTEL-A-1, 3, C, L
2a, AMSTEL-A-1, 3, C, R
2a, SCHILDPAD-A-32, 1, A, L
2a, SCHILDPAD-A-32, 38, B_curved, R
2a, GEBRUIKEN-C-13, 2, B, L
2a, GEBRUIKEN-C-13, 4, 1, R
2a, GEBRUIKEN-A-9, 9, N, L
2a, GEBRUIKEN-A-9, 2, B, R
2a, PT:wijs-13, 4, 1, L
2a, PT:wijs-13, 4, 1, R
2a, AF-A-15, 2, B, L
2a, AF-A-15, 2, B, R
2a, PT:wijs-48, 4, 1, L
