2s, PO-4003, 2, B, L
2s, ORGANISEREN-9, 17, S, R
2s, VERTELLEN-62, 2, B, L
2s, VERTELLEN-62, 2, B, R
2s, GEBAREN-A-384, 25, 5, L
2s, GEBAREN-A-384, 25, 5, R
2s, PO-1977, 2, B, L
2s, PO-1977, 2, B, R
2s, GEBAREN-A-554, 25, 5, L
2s, GEBAREN-A-554, 25, 5, R
2s, PO-837, 2, B, L
2s, PO-837, 2, B, R
2s, VERSPREIDEN-B-3, 17, S, L
2s, VERSPREIDEN-B-3, 17, S, R
2s, PO-4276, 2, B, L
2s, ANTENNE, 18, T, L
2s, ANTENNE, 18, T, R
2s, HOND-A-21, 27, B_bent, L
2s, HOND-A-21, 27, B_bent, R
2s, GEBAREN-A-631, 25, 5, L
2s, GEBAREN-A-631, 25, 5, R
2s, PO-3995, 2, B, L
2s, PO-3995, 2, B, R
2s, ALLES-A-45, 25, 5, L
2s, ALLES-A-45, 25, 5, R
2s, PO-37, 2, B, L
2s, PO-37, 2, B, R
2s, PRATEN-B-73, 26, Beak_open, L
2s, PRATEN-B-73, 26, Beak_open, R
2s, PO-1178, 2, B, L
2s, PO-1178, 2, B, R
2s, PO-3298, 2, B, L
2s, PO-3298, 2, B, R
2s, MEUBEL, 37, C_spread, L
2s, MEUBEL, 37, C_spread, R
2s, WAAROM-A, 27, B_bent, L
2s, WAAROM-A, 27, B_bent, R
2s, GROEP-A-75, 3, C, L
2s, GROEP-A-75, 3, C, R
2s, PO-2699, 2, B, L
2s, PO-2699, 2, B, R
2s, TAAL-B-26, 24, Baby_O, L
2s, TAAL-B-26, 24, Baby_O, R
2s, OEFENEN-A-10, 17, S, L
2s, OEFENEN-A-10, 17, S, R
2s, EMAIL-B-15, 14, O, L
2s, EMAIL-B-15, 14, O, R
2s, VOGELKOOI-A-25, 2, B, L
2s, VOGELKOOI-A-25, 2, B, R
2s, LOPEN-D-8, 2, B, L
2s, LOPEN-D-8, 2, B, R
2s, BEZIG-3, 17, S, L
2s, BEZIG-3, 17, S, R
2s, PO-2836, 2, B, L
2s, PO-2836, 2, B, R
2s, AL-81, 2, B, L
2s, AL-81, 2, B, R
2s, HOE-B-51, 26, Beak_open, L
2s, HOE-B-51, 26, Beak_open, R
2s, GEBAREN-A-734, 25, 5, L
2s, GEBAREN-A-734, 25, 5, R
2s, GEHANDICAPT-B-10, 9, N, L
2s, GEHANDICAPT-B-10, 9, N, R
2s, VOELEN-B-28, 42, Beak, R
2s, OFFICIEEL-3, 18, T, L
2s, OFFICIEEL-3, 18, T, R
2s, PO-1275, 2, B, L
2s, PO-1275, 2, B, R
2s, KLAAR-A-124, 2, B, L
2s, KLAAR-A-124, 2, B, R
2s, PO-3187, 2, B, L
2s, PO-3187, 2, B, R
2s, GROEP-A-142, 3, C, L
2s, GROEP-A-142, 3, C, R
2s, ACCEPTEREN-A-18, 26, Beak_open, L
2s, ACCEPTEREN-A-18, 26, Beak_open, R
2s, PO-3414, 2, B, L
2s, PO-3414, 2, B, R
2s, MOGEN-A-6, 25, 5, L
2s, MOGEN-A-6, 25, 5, R
2s, AANDACHT-A-14, 2, B, L
2s, AANDACHT-A-14, 2, B, R
2s, EMAIL-B-9, 14, O, L
2s, EMAIL-B-9, 14, O, R
2s, PO-4278, 2, B, L
2s, PO-4278, 2, B, R
2s, PO-1916, 2, B, L
2s, PO-1916, 2, B, R
2s, JAAR-B-24, 17, S, L
2s, JAAR-B-24, 17, S, R
2s, ROLNEMEN-2, 36, Money, L
2s, ROLNEMEN-2, 36, Money, R
2s, GEBOUW-B-3, 19, V, L
2s, GEBOUW-B-3, 19, V, R
2s, AUTORIJDEN-5, 17, S, L
2s, AUTORIJDEN-5, 17, S, R
2s, PO-2564, 2, B, R
2s, PO-3578, 2, B, L
2s, PO-3578, 2, B, R
2s, LOPEN-H-13, 38, B_curved, L
2s, LOPEN-H-13, 38, B_curved, R
2s, GEBAREN-A-711, 25, 5, L
2s, GEBAREN-A-711, 25, 5, R
2s, GEBAREN-A-178, 25, 5, L
2s, GEBAREN-A-178, 25, 5, R
2s, PO-2352, 2, B, L
2s, PO-2352, 2, B, R
2s, JE-BEST-DOEN-4, 17, S, L
2s, JE-BEST-DOEN-4, 17, S, R
2s, AANDACHT-A-6, 2, B, L
2s, AANDACHT-A-6, 2, B, R
2s, PO-2846, 2, B, L
2s, PO-2846, 2, B, R
2s, ONDERDANIG-2, 9, N, L
2s, ONDERDANIG-2, 9, N, R
2s, LIJN-C-10, 2, B, L
2s, LIJN-C-10, 2, B, R
2s, PO-1210, 2, B, L
2s, PO-1210, 2, B, R
2s, GEBOUW-C-6, 2, B, L
2s, GEBOUW-C-6, 2, B, R
2s, STAAN-B-3, 17, S, L
2s, STAAN-B-3, 17, S, R
2s, WIELRENNEN, 14, O, L
2s, WIELRENNEN, 14, O, R
2s, MOGEN-A-14, 25, 5, L
2s, MOGEN-A-14, 25, 5, R
2s, GEBAREN-A-465, 25, 5, L
2s, GEBAREN-A-465, 25, 5, R
2s, ACCEPTEREN-A-3, 26, Beak_open, L
2s, ACCEPTEREN-A-3, 26, Beak_open, R
2s, SAMEN-C-3, 2, B, L
2s, SAMEN-C-3, 2, B, R
2s, GEBAREN-A-561, 25, 5, L
2s, GEBAREN-A-561, 25, 5, R
2s, PO-2760, 2, B, L
2s, PO-2760, 2, B, R
2s, BAL-A-7, 37, C_spread, L
2s, BAL-A-7, 37, C_spread, R
2s, PO-61, 2, B, L
2s, PO-61, 2, B, R
2s, PO-200, 2, B, L
2s, PO-200, 2, B, R
2s, OVERKAPPING, 2, B, L
2s, OVERKAPPING, 2, B, R
2s, GEBOREN-A-8, 2, B, L
2s, GEBOREN-A-8, 2, B, R
2s, AMSTERDAM-6, 4, 1, L
2s, AMSTERDAM-6, 4, 1, R
2s, HELM-2, 25, 5, L
2s, HELM-2, 25, 5, R
2s, ROLSTOEL-B-1, 4, 1, L
2s, ROLSTOEL-B-1, 4, 1, R
2s, GEBAREN-A-772, 25, 5, L
2s, GEBAREN-A-772, 25, 5, R
2s, PANIEK-A-5, 25, 5, L
2s, PANIEK-A-5, 25, 5, R
2s, DOEN-A-58, 26, Beak_open, L
2s, DOEN-A-58, 26, Beak_open, R
2s, PO-353, 2, B, L
2s, PO-353, 2, B, R
2s, VOELEN-B-22, 42, Beak, L
2s, VOELEN-B-22, 42, Beak, R
2s, SAMEN-A-77, 3, C, L
2s, SAMEN-A-77, 3, C, R
2s, ROLLATOR-2, 17, S, L
2s, ROLLATOR-2, 17, S, R
2s, VOGELKOOI-A-3, 2, B, L
2s, VOGELKOOI-A-3, 2, B, R
2s, PO-2949, 2, B, L
2s, PO-2949, 2, B, R
2s, GOLFEN, 36, Money, L
2s, GOLFEN, 36, Money, R
2s, MACHINE-A, 4, 1, L
2s, MACHINE-A, 4, 1, R
2s, COMMUNICEREN-84, 3, C, L
2s, COMMUNICEREN-84, 3, C, R
2s, BOMBARDEREN-1, 14, O, L
2s, BOMBARDEREN-1, 14, O, R
2s, APART-C-10, 3, C, L
2s, APART-C-10, 3, C, R
2s, PO-1379, 2, B, L
2s, PO-1379, 2, B, R
2s, PO-1825, 2, B, L
2s, PO-1825, 2, B, R
2s, ROLLEN-7, 4, 1, L
2s, ROLLEN-7, 4, 1, R
2s, DOEN-A-72, 26, Beak_open, L
2s, DOEN-A-72, 26, Beak_open, R
2s, GEBAREN-A-256, 25, 5, L
2s, GEBAREN-A-256, 25, 5, R
2s, OMGEVING-B-10, 25, 5, L
2s, OMGEVING-B-10, 25, 5, R
2s, NURNBERG-7, 9, N, L
2s, NURNBERG-7, 9, N, R
2s, VERBETEREN, 18, T, L
2s, VERBETEREN, 18, T, R
2s, KLAAR-A-20, 2, B, L
2s, KLAAR-A-20, 2, B, R
2s, PO-1540, 2, B, L
2s, PO-1540, 2, B, R
2s, GEHANDICAPT-A-156, 4, 1, L
2s, GEHANDICAPT-A-156, 4, 1, R
2s, PO-2631, 2, B, L
2s, PO-2631, 2, B, R
2s, KLAAR-A-119, 2, B, L
2s, KLAAR-A-119, 2, B, R
2s, PO-571, 2, B, R
2s, HOLLAND-B, 2, B, L
2s, HOLLAND-B, 2, B, R
2s, VOGELKOOI-A-24, 2, B, L
2s, VOGELKOOI-A-24, 2, B, R
2s, PO-3217, 2, B, L
2s, PO-3217, 2, B, R
2s, STAAN-D-9, 2, B, L
2s, STAAN-D-9, 2, B, R
2s, PO-3088, 2, B, L
2s, PO-3088, 2, B, R
2s, GEBAREN-A-416, 25, 5, L
2s, GEBAREN-A-416, 25, 5, R
2s, GEBAREN-A-693, 25, 5, L
2s, GEBAREN-A-693, 25, 5, R
2s, HUILEN-A-6, 4, 1, L
2s, HUILEN-A-6, 4, 1, R
2s, PO-4057, 2, B, L
2s, PO-4057, 2, B, R
2s, GEBAREN-A-176, 25, 5, L
2s, GEBAREN-A-176, 25, 5, R
2s, PO-3279, 2, B, L
2s, PO-3279, 2, B, R
2s, GROEP-A-44, 3, C, L
2s, GROEP-A-44, 3, C, R
2s, BACKPACKEN-1, 3, C, L
2s, BACKPACKEN-1, 3, C, R
2s, STAAN-D-15, 2, B, L
2s, STAAN-D-15, 2, B, R
2s, KUIP, 38, B_curved, L
2s, KUIP, 38, B_curved, R
2s, HOE-B-96, 26, Beak_open, L
2s, HOE-B-96, 26, Beak_open, R
2s, COMMUNICEREN-54, 3, C, L
2s, COMMUNICEREN-54, 3, C, R
2s, PO-1428, 2, B, L
2s, PO-1428, 2, B, R
2s, VERSCHILLENDE-A-35, 25, 5, L
2s, VERSCHILLENDE-A-35, 25, 5, R
2s, LICHAAM-A-2, 27, B_bent, L
2s, LICHAAM-A-2, 27, B_bent, R
2s, PV-2, 25, 5, L
2s, PV-2, 25, 5, R
2s, BOT, 3, C, L
2s, BOT, 3, C, R
2s, PO-2180, 2, B, L
2s, PO-2180, 2, B, R
2s, TE-MAKEN-MET-1, 18, T, L
2s, TE-MAKEN-MET-1, 18, T, R
2s, POSTER, 1, A, L
2s, POSTER, 1, A, R
2s, ROLSTOEL-B, 4, 1, L
2s, ROLSTOEL-B, 4, 1, R
2s, INKRIMPEN-A, 37, C_spread, L
2s, INKRIMPEN-A, 37, C_spread, R
2s, ERFELIJK-A, 4, 1, L
2s, ERFELIJK-A, 4, 1, R
2s, KAPOT, 17, S, L
2s, KAPOT, 17, S, R
2s, AWKWARD, 21, W, L
2s, AWKWARD, 21, W, R
2s, VERTELLEN-48, 2, B, L
2s, VERTELLEN-48, 2, B, R
2s, PO-2297, 2, B, L
2s, PO-2297, 2, B, R
2s, PO-3661, 2, B, L
2s, PO-3661, 2, B, R
2s, RENNEN-B, 2, B, L
2s, RENNEN-B, 2, B, R
2s, 10-A, 25, 5, L
2s, 10-A, 25, 5, R
2s, PLAGEN-A-2, 4, 1, L
2s, PLAGEN-A-2, 4, 1, R
2s, FAMILIE-B-4, 18, T, L
2s, FAMILIE-B-4, 18, T, R
2s, ORGANISEREN-13, 17, S, L
2s, ORGANISEREN-13, 17, S, R
2s, RIEM, 44, Baby_C, L
2s, RIEM, 44, Baby_C, R
2s, TEST-6, 18, T, L
2s, TEST-6, 18, T, R
2s, GEBAREN-A-702, 25, 5, L
2s, GEBAREN-A-702, 25, 5, R
2s, VERTELLEN-24, 2, B, L
2s, VERTELLEN-24, 2, B, R
2s, GEBAREN-A-53, 25, 5, L
2s, GEBAREN-A-53, 25, 5, R
2s, GROEP-C-35, 3, C, L
2s, GROEP-C-35, 3, C, R
2s, WEDSTRIJD-17, 1, A, L
2s, WEDSTRIJD-17, 1, A, R
2s, VRIEND-A-12, 2, B, L
2s, VRIEND-A-12, 2, B, R
2s, GEBAREN-A-270, 25, 5, L
2s, GEBAREN-A-270, 25, 5, R
2s, INTERNET-F-3, 25, 5, L
2s, INTERNET-F-3, 25, 5, R
2s, KAPOT-8, 17, S, L
2s, KAPOT-8, 17, S, R
2s, VAST-2, 17, S, L
2s, VAST-2, 17, S, R
2s, VOGEL-A-66, 2, B, L
2s, VOGEL-A-66, 2, B, R
2s, PO-4073, 2, B, L
2s, PO-4073, 2, B, R
2s, LOPEN-E-20, 3, C, L
2s, LOPEN-E-20, 3, C, R
2s, PO-1850, 2, B, R
2s, VRIJ-C-3, 2, B, L
2s, VRIJ-C-3, 2, B, R
2s, PRIMA-15, 1, A, L
2s, PRIMA-15, 1, A, R
2s, PO-2948, 2, B, L
2s, PO-2948, 2, B, R
2s, GEBAREN-A-571, 25, 5, L
2s, GEBAREN-A-571, 25, 5, R
2s, PO-36, 2, B, L
2s, PO-36, 2, B, R
2s, COMPUTER-B-2, 37, C_spread, L
2s, COMPUTER-B-2, 37, C_spread, R
2s, VOOR-C-17, 27, B_bent, L
2s, VOOR-C-17, 27, B_bent, R
2s, GROEP-A-113, 3, C, L
2s, GROEP-A-113, 3, C, R
2s, HUIS-A-5, 2, B, L
2s, HUIS-A-5, 2, B, R
2s, TENTOONSTELLING, 18, T, L
2s, TENTOONSTELLING, 18, T, R
2s, AL-53, 2, B, L
2s, AL-53, 2, B, R
2s, OPLOSSEN-A-1, 18, T, L
2s, OPLOSSEN-A-1, 18, T, R
2s, PO-179, 2, B, L
2s, PO-179, 2, B, R
2s, DOEN-A-7, 26, Beak_open, L
2s, DOEN-A-7, 26, Beak_open, R
2s, VRIJ-B-1, 23, Y, L
2s, VRIJ-B-1, 23, Y, R
2s, PO-2766, 2, B, L
2s, PO-2766, 2, B, R
2s, COVID-B, 2, B, L
2s, COVID-B, 2, B, R
2s, ALLES-A-41, 25, 5, L
2s, ALLES-A-41, 25, 5, R
2s, POES-A-42, 16, Baby_beak_open, L
2s, POES-A-42, 16, Baby_beak_open, R
2s, GROEP-A-5, 3, C, L
2s, GROEP-A-5, 3, C, R
2s, PO-1672, 2, B, L
2s, PO-1672, 2, B, R
2s, PO-4226, 2, B, L
2s, PO-4226, 2, B, R
2s, OMGAAN-B-2, 2, B, L
2s, OMGAAN-B-2, 2, B, R
2s, BIJEENDRIJVEN-1, 25, 5, L
2s, BIJEENDRIJVEN-1, 25, 5, R
2s, GEBAREN-A-504, 25, 5, L
2s, GEBAREN-A-504, 25, 5, R
2s, AL-29, 2, B, L
2s, AL-29, 2, B, R
2s, SAMEN-A-132, 3, C, L
2s, SAMEN-A-132, 3, C, R
2s, LOPEN-I-4, 4, 1, L
2s, LOPEN-I-4, 4, 1, R
2s, PO-3333, 2, B, L
2s, PO-3333, 2, B, R
2s, AIRCO, 37, C_spread, L
2s, AIRCO, 37, C_spread, R
2s, GEBAREN-A-710, 25, 5, L
2s, GEBAREN-A-710, 25, 5, R
2s, PO-2259, 2, B, L
2s, PO-2259, 2, B, R
2s, PV-155, 25, 5, L
2s, PV-155, 25, 5, R
2s, PO-439, 2, B, L
2s, PO-439, 2, B, R
2s, PO-3564, 2, B, L
2s, PO-3564, 2, B, R
2s, VERANDEREN-B-7, 19, V, L
2s, VERANDEREN-B-7, 19, V, R
2s, GROEP-A-31, 3, C, L
2s, GROEP-A-31, 3, C, R
2s, ALLEMAAL-A-2, 25, 5, L
2s, ALLEMAAL-A-2, 25, 5, R
2s, AVOND-A-16, 2, B, L
2s, AVOND-A-16, 2, B, R
2s, KAR-1, 17, S, L
2s, KAR-1, 17, S, R
2s, PO-2285, 2, B, L
2s, PO-2285, 2, B, R
2s, REGEN-A-9, 25, 5, L
2s, REGEN-A-9, 25, 5, R
2s, PV-54, 25, 5, L
2s, PV-54, 25, 5, R
2s, PO-3106, 2, B, L
2s, PO-3106, 2, B, R
2s, PO-1100, 2, B, L
2s, PO-1100, 2, B, R
2s, PO-662, 2, B, L
2s, PO-662, 2, B, R
2s, ETHISCH, 18, T, L
2s, ETHISCH, 18, T, R
2s, KLAAR-A-82, 2, B, L
2s, KLAAR-A-82, 2, B, R
2s, GEBAREN-A-463, 25, 5, L
2s, GEBAREN-A-463, 25, 5, R
2s, WAKKER-18, 45, Baby_beak, L
2s, WAKKER-18, 45, Baby_beak, R
2s, PO-3290, 2, B, L
2s, PO-3290, 2, B, R
2s, PAUW, 30, 4, L
2s, PAUW, 30, 4, R
2s, WEGZAKKEN-1, 39, Beak_open_spread, L
2s, WEGZAKKEN-1, 39, Beak_open_spread, R
2s, RENNEN-A-22, 17, S, L
2s, RENNEN-A-22, 17, S, R
2s, PO-2260, 2, B, L
2s, PO-2260, 2, B, R
2s, PO-682, 2, B, L
2s, PO-682, 2, B, R
2s, PO-3830, 2, B, L
2s, PO-3830, 2, B, R
2s, PO-3064, 2, B, L
2s, PO-3064, 2, B, R
2s, AL-58, 2, B, L
2s, PO-1402, 2, B, L
2s, PO-1402, 2, B, R
2s, PO-1809, 2, B, L
2s, PO-1809, 2, B, R
2s, LOPEN-E-45, 3, C, L
2s, LOPEN-E-45, 3, C, R
2s, VOGEL-A-28, 2, B, L
2s, VOGEL-A-28, 2, B, R
2s, TEST-1, 18, T, L
2s, TEST-1, 18, T, R
2s, PO-1577, 2, B, L
2s, PO-1577, 2, B, R
2s, PO-90, 2, B, L
2s, PO-90, 2, B, R
2s, BOOT-1, 2, B, L
2s, BOOT-1, 2, B, R
2s, PO-60, 2, B, L
2s, PO-60, 2, B, R
2s, MIMIEK-C-1, 41, V_curved, L
2s, MIMIEK-C-1, 41, V_curved, R
2s, LOPEN-C-24, 37, C_spread, L
2s, LOPEN-C-24, 37, C_spread, R
2s, APART-C-16, 3, C, L
2s, APART-C-16, 3, C, R
2s, KLIMMEN-A-32, 37, C_spread, L
2s, KLIMMEN-A-32, 37, C_spread, R
2s, PO-2374, 2, B, L
2s, PO-2374, 2, B, R
2s, AVOND-A-11, 2, B, L
2s, AVOND-A-11, 2, B, R
2s, HOE-B-50, 26, Beak_open, L
2s, HOE-B-50, 26, Beak_open, R
2s, PO-744, 2, B, L
2s, PO-744, 2, B, R
2s, GEBAREN-A-370, 25, 5, L
2s, GEBAREN-A-370, 25, 5, R
2s, PO-1696, 2, B, L
2s, PO-1696, 2, B, R
2s, PO-1118, 2, B, L
2s, PO-1118, 2, B, R
2s, PO-3296, 2, B, L
2s, PO-3296, 2, B, R
2s, GEBAREN-A-234, 25, 5, L
2s, GEBAREN-A-234, 25, 5, R
2s, ONTSPANNEN-D, 59, 5r, L
2s, ONTSPANNEN-D, 59, 5r, R
2s, PO-4157, 2, B, L
2s, PO-4157, 2, B, R
2s, PO-1121, 2, B, L
2s, PO-1121, 2, B, R
2s, PRATEN-B-13, 26, Beak_open, L
2s, PRATEN-B-13, 26, Beak_open, R
2s, POES-A-1, 16, Baby_beak_open, L
2s, POES-A-1, 16, Baby_beak_open, R
2s, PO-3849, 2, B, L
2s, PO-3849, 2, B, R
2s, COMMUNICEREN-12, 3, C, L
2s, COMMUNICEREN-12, 3, C, R
2s, PO-2629, 2, B, L
2s, PO-2629, 2, B, R
2s, GEBAREN-A-225, 25, 5, L
2s, GEBAREN-A-225, 25, 5, R
2s, PO-3806, 2, B, L
2s, PO-3806, 2, B, R
2s, PV-56, 25, 5, L
2s, PV-56, 25, 5, R
2s, PO-3763, 2, B, L
2s, PO-3763, 2, B, R
2s, TROMMEL-1, 36, Money, L
2s, TROMMEL-1, 36, Money, R
2s, GEBAREN-A-159, 25, 5, L
2s, GEBAREN-A-159, 25, 5, R
2s, LUXE-B, 22, 1_curved, L
2s, LUXE-B, 22, 1_curved, R
2s, HOE-B-78, 26, Beak_open, L
2s, HOE-B-78, 26, Beak_open, R
2s, DOEN-A-44, 26, Beak_open, L
2s, DOEN-A-44, 26, Beak_open, R
2s, EEN-OP-EEN-1, 4, 1, L
2s, EEN-OP-EEN-1, 4, 1, R
2s, PO-561, 2, B, L
2s, PO-561, 2, B, R
2s, PO-4191, 2, B, L
2s, PO-4191, 2, B, R
2s, COMMUNICEREN-61, 3, C, L
2s, COMMUNICEREN-61, 3, C, R
2s, PV-5, 25, 5, L
2s, PV-5, 25, 5, R
2s, GRAS-A-4, 4, 1, L
2s, GRAS-A-4, 4, 1, R
2s, BERGTOP, 25, 5, L
2s, BERGTOP, 25, 5, R
2s, PO-2010, 2, B, L
2s, PO-2010, 2, B, R
2s, PO-2201, 2, B, L
2s, PO-2201, 2, B, R
2s, LIJN-A-10, 18, T, L
2s, LIJN-A-10, 18, T, R
2s, TE-MAKEN-MET-4, 18, T, L
2s, TE-MAKEN-MET-4, 18, T, R
2s, LUXEMBURG-A, 22, 1_curved, L
2s, LUXEMBURG-A, 22, 1_curved, R
2s, PO-316, 2, B, L
2s, PO-316, 2, B, R
2s, PO-1570, 2, B, L
2s, PO-1570, 2, B, R
2s, HELPEN-A-38, 25, 5, L
2s, HELPEN-A-38, 25, 5, R
2s, PRATEN-B-25, 26, Beak_open, L
2s, PRATEN-B-25, 26, Beak_open, R
2s, HUILEN-A-2, 4, 1, L
2s, HUILEN-A-2, 4, 1, R
2s, PO-900, 2, B, L
2s, PO-900, 2, B, R
2s, PO-4046, 2, B, L
2s, PO-4046, 2, B, R
2s, KLAAR-A-79, 2, B, L
2s, KLAAR-A-79, 2, B, R
2s, PO-3818, 2, B, L
2s, PO-3818, 2, B, R
2s, GEBAREN-A-803, 25, 5, L
2s, GEBAREN-A-803, 25, 5, R
2s, MOTORRIJDEN-1, 17, S, L
2s, MOTORRIJDEN-1, 17, S, R
2s, PO-3644, 2, B, L
2s, PO-3644, 2, B, R
2s, PO-3416, 2, B, L
2s, PO-3416, 2, B, R
2s, HOTEL-A-5, 22, 1_curved, L
2s, HOTEL-A-5, 22, 1_curved, R
2s, VERSCHILLENDE-A-22, 25, 5, L
2s, VERSCHILLENDE-A-22, 25, 5, R
2s, PO-1683, 2, B, L
2s, PO-1683, 2, B, R
2s, MAAKT-NIET-UIT-42, 25, 5, L
2s, MAAKT-NIET-UIT-42, 25, 5, R
2s, MOPPEREN-B, 37, C_spread, L
2s, MOPPEREN-B, 37, C_spread, R
2s, PO-2533, 2, B, L
2s, PO-2533, 2, B, R
2s, PO-1120, 2, B, L
2s, PO-1120, 2, B, R
2s, PO-2665, 2, B, L
2s, PO-2665, 2, B, R
2s, GEBAREN-A-579, 25, 5, L
2s, GEBAREN-A-579, 25, 5, R
2s, PO-1076, 2, B, L
2s, PO-1076, 2, B, R
2s, PO-4016, 2, B, L
2s, PO-4016, 2, B, R
2s, GEBAREN-B-12, 25, 5, L
2s, GEBAREN-B-12, 25, 5, R
2s, PO-1023, 2, B, L
2s, PO-1023, 2, B, R
2s, ONTMOETEN-A-9, 4, 1, L
2s, ONTMOETEN-A-9, 4, 1, R
2s, ROLSTOEL-C-5, 44, Baby_C, L
2s, ROLSTOEL-C-5, 44, Baby_C, R
2s, PO-1278, 2, B, L
2s, PO-1278, 2, B, R
2s, GLETSJER , 25, 5, L
2s, GLETSJER , 25, 5, R
2s, PO-2022, 2, B, L
2s, PO-2022, 2, B, R
2s, EEN-OP-EEN-3, 4, 1, L
2s, EEN-OP-EEN-3, 4, 1, R
2s, PO-3006, 2, B, L
2s, PO-3006, 2, B, R
2s, PO-3606, 2, B, L
2s, PO-3606, 2, B, R
2s, PO-957, 2, B, L
2s, PO-957, 2, B, R
2s, VEEL-B-10, 25, 5, L
2s, VEEL-B-10, 25, 5, R
2s, PO-1211, 2, B, L
2s, PO-1211, 2, B, R
2s, GEBAREN-A-217, 25, 5, L
2s, GEBAREN-A-217, 25, 5, R
2s, PO-1630, 2, B, L
2s, PO-1630, 2, B, R
2s, RICHTING-6, 2, B, L
2s, RICHTING-6, 2, B, R
2s, HOE-B-49, 26, Beak_open, L
2s, HOE-B-49, 26, Beak_open, R
2s, GEBAREN-A-289, 25, 5, L
2s, GEBAREN-A-289, 25, 5, R
2s, AUTORIJDEN-8, 17, S, L
2s, AUTORIJDEN-8, 17, S, R
2s, PO-1189, 2, B, L
2s, PO-1189, 2, B, R
2s, PV-71, 25, 5, L
2s, PV-71, 25, 5, R
2s, SAMEN-A-129, 3, C, L
2s, SAMEN-A-129, 3, C, R
2s, MOGEN-A-3, 25, 5, L
2s, MOGEN-A-3, 25, 5, R
2s, PRATEN-B-67, 26, Beak_open, L
2s, PRATEN-B-67, 26, Beak_open, R
2s, PO-807, 2, B, L
2s, PO-807, 2, B, R
2s, BELANGRIJK-B-9, 18, T, L
2s, BELANGRIJK-B-9, 18, T, R
2s, PO-2556, 2, B, L
2s, PO-2556, 2, B, R
2s, BEHEER-1, 27, B_bent, L
2s, BEHEER-1, 27, B_bent, R
2s, UITBREIDEN-A-5, 14, O, L
2s, UITBREIDEN-A-5, 14, O, R
2s, DIRECTEUR-B, 1, A, L
2s, DIRECTEUR-B, 1, A, R
2s, PO-1769, 2, B, L
2s, PO-1769, 2, B, R
2s, GEBAREN-A-660, 25, 5, L
2s, GEBAREN-A-660, 25, 5, R
2s, PO-1372, 2, B, L
2s, PO-1372, 2, B, R
2s, GEBAREN-C-23, 25, 5, L
2s, GEBAREN-C-23, 25, 5, R
2s, ALLES-B-22, 25, 5, L
2s, ALLES-B-22, 25, 5, R
2s, GEBAREN-A-369, 25, 5, L
2s, GEBAREN-A-369, 25, 5, R
2s, GEBAREN-A-506, 25, 5, L
2s, GEBAREN-A-506, 25, 5, R
2s, OPEN-A-12, 2, B, L
2s, OPEN-A-12, 2, B, R
2s, PO-3743, 2, B, L
2s, PO-3743, 2, B, R
2s, PO-677, 2, B, L
2s, PO-677, 2, B, R
2s, PO-2290, 2, B, L
2s, PO-2290, 2, B, R
2s, PO-3517, 2, B, L
2s, PO-3517, 2, B, R
2s, OPSTAAN, 38, B_curved, L
2s, OPSTAAN, 38, B_curved, R
2s, PO-2811, 2, B, L
2s, PO-2811, 2, B, R
2s, PO-4223, 2, B, L
2s, PO-4223, 2, B, R
2s, PO-4149, 2, B, L
2s, PO-4149, 2, B, R
2s, PO-772, 2, B, L
2s, PO-772, 2, B, R
2s, SAMEN-A-123, 3, C, L
2s, SAMEN-A-123, 3, C, R
2s, DOOS-A-6, 2, B, L
2s, DOOS-A-6, 2, B, R
2s, VERSCHILLENDE-A-52, 25, 5, L
2s, VERSCHILLENDE-A-52, 25, 5, R
2s, AMSTERDAM-57, 4, 1, L
2s, AMSTERDAM-57, 4, 1, R
2s, AL-143, 2, B, L
2s, AL-143, 2, B, R
2s, PO-1058, 2, B, L
2s, PO-1058, 2, B, R
2s, RECLAME-A-3, 14, O, L
2s, RECLAME-A-3, 14, O, R
2s, FILTER-2, 2, B, L
2s, FILTER-2, 2, B, R
2s, SEKS-3, 41, V_curved, L
2s, SEKS-3, 41, V_curved, R
2s, REGERING-B-4, 36, Money, L
2s, REGERING-B-4, 36, Money, R
2s, PAUZE-A, 9, N, L
2s, PAUZE-A, 9, N, R
2s, GEBAREN-A-842, 25, 5, L
2s, GEBAREN-A-842, 25, 5, R
2s, NEDERLAND-A-36, 26, Beak_open, L
2s, NEDERLAND-A-36, 26, Beak_open, R
2s, PO-2989, 2, B, L
2s, PO-2989, 2, B, R
2s, GEHANDICAPT-A-94, 4, 1, L
2s, GEHANDICAPT-A-94, 4, 1, R
2s, PO-2667, 2, B, L
2s, PO-2667, 2, B, R
2s, AUTO-46, 17, S, L
2s, AUTO-46, 17, S, R
2s, PO-3022, 2, B, L
2s, PO-3022, 2, B, R
2s, HAAS-B-5, 2, B, L
2s, HAAS-B-5, 2, B, R
2s, AL-5, 2, B, L
2s, AL-5, 2, B, R
2s, VAST-3, 17, S, L
2s, VAST-3, 17, S, R
2s, VAARDIG-7, 2, B, L
2s, VAARDIG-7, 2, B, R
2s, SAMEN-A-12, 3, C, L
2s, SAMEN-A-12, 3, C, R
2s, DANSEN-B-2, 17, S, L
2s, DANSEN-B-2, 17, S, R
2s, PO-1404, 2, B, L
2s, PO-1404, 2, B, R
2s, PO-98, 2, B, L
2s, PO-98, 2, B, R
2s, BURRITO, 3, C, L
